chemical	alias	source
CID000009444	C11262	845 KEGG
CID000009444	CAS-320-67-2	824
CID000009444	CCG-39046	Center_for_Chemical_Genomics,_University_of_Michigan
CID000009444	CCRIS 60	845 ChemIDplus LeadScope
CID000009444	CHEBI:2038	845 ChEBI ChEMBL
CID000009444	CHEMBL1489	845 ChEMBL
CID000009444	CID 11702858	NextBio
CID000009444	CID11702858	NextBio
CID000009444	CID9444	845 NextBio
CID000009444	CPD000857239	845 NIH_Clinical_Collection
CID000009444	CTK1C2919	1096
CID000009444	D001374	845 Comparative_Toxicogenomics_Database
CID000009444	D03021	845 KEGG
CID000009444	DAP000640	845
CID000009444	DB00928	845 DrugBank
CID000009444	DSSTox_CID_116	824
CID000009444	DSSTox_GSID_20116	824
CID000009444	DSSTox_RID_75378	824
CID000009444	DivK1c_000125	845 ChemBank
CID000009444	EINECS 206-280-2	845 ChemIDplus LeadScope
CID000009444	EU-0100035	845 Emory_University_Molecular_Libraries_Screening_Center
CID000009444	FT-0081170	718 845
CID000009444	HMS1921J22	845 ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000009444	HMS2092D08	845 ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000009444	HMS2231F15	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000009444	HMS3259D19	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000009444	HMS3260G11	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000009444	HMS500G07	845 ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000009444	HSDB 6879	845 ChemIDplus LeadScope
CID000009444	IDI1_000125	845 ChemBank
CID000009444	Jsp005945	845 Jamson_Pharmachem_Technology
CID000009444	KB-41704	1081
CID000009444	KBio1_000125	845 ChemBank
CID000009444	KBio2_001742	845 ChemBank
CID000009444	KBio2_002556	845 ChemBank
CID000009444	KBio2_004310	845 ChemBank
CID000009444	KBio2_005124	845 ChemBank
CID000009444	KBio2_006878	845 ChemBank
CID000009444	KBio2_007692	845 ChemBank
CID000009444	KBio3_002657	845 ChemBank
CID000009444	KBio3_003034	845 ChemBank
CID000009444	KBioGR_001444	845 ChemBank
CID000009444	KBioGR_002556	845 ChemBank
CID000009444	KBioSS_001742	845 ChemBank
CID000009444	KBioSS_002565	845 ChemBank
CID000009444	LP00035	1102
CID000009444	LS-1189	845 LeadScope
CID000009444	Lopac0_000035	845 ChemBank
CID000009444	MLS001333121	845 MLSMR
CID000009444	MLS001333122	845 MLSMR
CID000009444	MLS002153249	845 MLSMR
CID000009444	MLS002548894	MLSMR
CID000009444	MolMap_000062	845 ChemBank
CID000009444	Mylosar	1052 845 ChemIDplus DrugBank LeadScope Prous_Science_Drugs_of_the_Future
CID000009444	NCGC00090851-01	845 NCGC
CID000009444	NCGC00090851-02	845 NCGC
CID000009444	NCGC00090851-03	845 NCGC
CID000009444	NCGC00090851-04	824 845 NCGC
CID000009444	NCGC00090851-05	NCGC
CID000009444	NCGC00090851-06	NCGC
CID000009444	NCGC00090851-07	NCGC
CID000009444	NCGC00090851-08	845 NCGC
CID000009444	NCGC00178234-01	845 NCGC
CID000009444	NCGC00256541-01	824
CID000009444	NCI-C01569	845 ChemIDplus LeadScope
CID000009444	NINDS_000125	845 ChemBank
CID000009444	NMUSYJAQQFHJEW-KVTDHHQDSA-	845 NMRShiftDB
CID000009444	NS-17	845 Prous_Science_Drugs_of_the_Future
CID000009444	NSC 102816	845 ChemIDplus Comparative_Toxicogenomics_Database LeadScope
CID000009444	NSC-102816	845 ChemIDplus Comparative_Toxicogenomics_Database LeadScope Prous_Science_Drugs_of_the_Future
CID000009444	NSC-758186	DTP/NCI
CID000009444	NSC102816	845 Comparative_Toxicogenomics_Database MTDP NIAID
CID000009444	NSC758186	DTP/NCI
CID000009444	Pharmakon1600-01502111	DTP/NCI
CID000009444	Pharmion Brand of Azacitidine	845 Comparative_Toxicogenomics_Database
CID000009444	PubChem14167	925
CID000009444	S1782_Selleck	845 Selleck_Chemicals
CID000009444	SAM002264595	845 NIH_Clinical_Collection
CID000009444	SBB066305	765
CID000009444	SL-000003	869
CID000009444	SMR000857239	845 MLSMR
CID000009444	SPBio_000892	845 ChemBank
CID000009444	SPECTRUM1502111	845 Emory_University_Molecular_Libraries_Screening_Center
CID000009444	ST056940	765 845 Ambinter
CID000009444	Spectrum2_000786	845 ChemBank
CID000009444	Spectrum3_001509	845 ChemBank
CID000009444	Spectrum4_000922	845 ChemBank
CID000009444	Spectrum5_001166	845 ChemBank
CID000009444	Spectrum_001262	845 ChemBank
CID000009444	SureCN1040685	992
CID000009444	SureCN12812958	992
CID000009444	SureCN12812971	992
CID000009444	SureCN14126076	992
CID000009444	SureCN2412035	992
CID000009444	SureCN3741	992
CID000009444	TL80073599	845 Hangzhou_Trylead_Chemical_Technology
CID000009444	Tox21_111032	824
CID000009444	Tox21_302985	824
CID000009444	U-18,496	ChEMBL
CID000009444	U-18496	845 ChEMBL Prous_Science_Drugs_of_the_Future
CID000009444	UNII-0627D8VG1C	ChemIDplus
CID000009444	UNII-M801H13NRU	845 ChemIDplus
CID000009444	Vidaza	1052 845 ChEMBL ChemIDplus Comparative_Toxicogenomics_Database DrugBank LeadScope Prous_Science_Drugs_of_the_Future
CID000009444	Vidaza (TN)	845 KEGG
CID000009444	WR-183027	845 ChemIDplus LeadScope
CID000009444	azacitidine	1052 826 845 869 ChEBI ChEMBL ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank KEGG LeadScope Prous_Science_Drugs_of_the_Future Selleck_Chemicals
CID000009444	cMAP_000082	845 ChemBank
CID000009444	ladakamycin	1052 845 ChEMBL ChemIDplus DrugBank LeadScope Prous_Science_Drugs_of_the_Future Sigma-Aldrich
CID000009444	mylo sar	845 LeadScope
CID000009444	u 18496	845 ChemIDplus LeadScope
CID000009444	wr 183027	845 LeadScope
CID000002719	(+-)-Chloroquine	ChemIDplus
CID000002719	(-)-Chloroquine	845 ChemIDplus
CID000002719	(R)-(-)-Chloroquine	845 ChemIDplus
CID000002719	37377A	Ambinter
CID000002719	A828213	813
CID000002719	AB00053436	845 Southern_Research_Institute
CID000002719	AC-12463	Hangzhou_APIChem_Technology
CID000002719	AC-15933	Hangzhou_APIChem_Technology
CID000002719	AC1L1EB8	708 845
CID000002719	AC1L228G	708
CID000002719	AC1L368O	708
CID000002719	AC1L368R	708
CID000002719	AC1L3M31	708
CID000002719	AC1NMDWR	708
CID000002719	AC1Q2ZA7	708 845
CID000002719	AC1Q2ZA8	708 845
CID000002719	AC1Q3ADG	708
CID000002719	AC1Q6RS5	708
CID000002719	AC1Q6RTA	708
CID000002719	AG-D-66545	940
CID000002719	AG-L-65219	940
CID000002719	AI3-14952	ChemIDplus LeadScope
CID000002719	AK116457	922
CID000002719	AKOS004910410	AKos_Consulting_&_Solutions
CID000002719	AKOS015935106	AKos_Consulting_&_Solutions
CID000002719	ANW-43957	1046
CID000002719	AR-1K5605	AAA_Chemistry
CID000002719	AR-1L5878	AAA_Chemistry
CID000002719	Alermine	ChemIDplus LeadScope
CID000002719	Amokin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Aralen	1052 845 ChEBI ChEMBL ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank LeadScope NIAID
CID000002719	Aralen (TN)	KEGG
CID000002719	Aralen HCl	1052 845 DrugBank LeadScope
CID000002719	Aralen diphosphate	ChemIDplus DTP/NCI LeadScope
CID000002719	Aralen hydrochloride	ChemIDplus LeadScope
CID000002719	Aralen hydrochloride (TN)	KEGG
CID000002719	Aralen phosphate	814 ChemIDplus DTP/NCI Hangzhou_APIChem_Technology LeadScope
CID000002719	Araten phosphate	ChemIDplus LeadScope NextBio
CID000002719	Arechine	845 Comparative_Toxicogenomics_Database LeadScope
CID000002719	Arequin	845 Comparative_Toxicogenomics_Database LeadScope
CID000002719	Arolen	845 DTP/NCI NIAID
CID000002719	Arthrochin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Artrichin	1052 845 ChEBI ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Avlochlor	1052 845 DTP/NCI DrugBank
CID000002719	Avloclor	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	BPBio1_000655	845 ChemBank
CID000002719	BRD-A91699651-065-01-1	845 Broad_Institute
CID000002719	BRN 0482809	845 ChemIDplus LeadScope
CID000002719	BSPBio_000595	845 ChemBank
CID000002719	BSPBio_002001	845 ChemBank
CID000002719	Bemaco	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Bemaphate	1052 845 ChEBI ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Bemasulph	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Benaquin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Bipiquin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	C 6628	Circadian_Research,_Kay_Laboratory,_University_of_California_at_San_Diego_(UCSD)
CID000002719	C023676	Comparative_Toxicogenomics_Database
CID000002719	C063170	Comparative_Toxicogenomics_Database
CID000002719	C07625	845 KEGG
CID000002719	C18H26ClN3	845 LeadScope
CID000002719	C18H26ClN3.HCl	LeadScope
CID000002719	C2301	TCI_(Tokyo_Chemical_Industry)
CID000002719	C6628_SIGMA	Sigma-Aldrich
CID000002719	CAS-50-63-5	824
CID000002719	CCG-204391	Center_for_Chemical_Genomics,_University_of_Michigan
CID000002719	CCG-39643	Center_for_Chemical_Genomics,_University_of_Michigan
CID000002719	CCRIS 1554	ChemIDplus LeadScope
CID000002719	CCRIS 3439	845 ChemIDplus LeadScope
CID000002719	CHEBI:3638	845 ChEBI ChEMBL
CID000002719	CHEBI:464201	BindingDB
CID000002719	CHEBI:50178	ChEBI ChEMBL
CID000002719	CHEMBL1326	ChEMBL
CID000002719	CHEMBL1669	ChEMBL
CID000002719	CHEMBL2095223	ChEMBL
CID000002719	CHEMBL58510	ChEMBL
CID000002719	CHEMBL76	845 ChEMBL
CID000002719	CID11717374	NextBio
CID000002719	CID2719	845 NextBio
CID000002719	CID5007021	NextBio
CID000002719	CID64927	NextBio
CID000002719	CID83818	NextBio
CID000002719	CID83820	NextBio
CID000002719	CID91441	NextBio
CID000002719	CQ	845 DTP/NCI LeadScope NIAID
CID000002719	CTK0H6433	1096
CID000002719	CTK1H1520	1096
CID000002719	CTK8B4126	1096
CID000002719	CTK8I3804	1096
CID000002719	CU-01000012392-2	845 Columbia_University_Molecular_Screening_Center
CID000002719	Capquin	1052 845 ChEBI ChemIDplus DrugBank LeadScope NIAID
CID000002719	Chemochin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Chingamin	1052 845 ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank LeadScope NIAID
CID000002719	Chingaminum	ChemIDplus LeadScope
CID000002719	Chloraquine	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Chlorochin	1052 845 ChEBI ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank LeadScope
CID000002719	Chlorochin diphosphate	ChemIDplus LeadScope
CID000002719	Chlorochine	1052 845 ChEMBL DrugBank
CID000002719	Chlorochinum	845 ChemIDplus LeadScope
CID000002719	Chloroin	845 DTP/NCI NIAID
CID000002719	Chloroquin	845 NIAID
CID000002719	Chloroquin diphosphate	ChemIDplus DTP/NCI LeadScope
CID000002719	Chloroquin sulfate	ChEBI ChemIDplus LeadScope
CID000002719	Chloroquina	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Chloroquine (USP/INN)	845 KEGG
CID000002719	Chloroquine (VAN)	845 ChemIDplus LeadScope
CID000002719	Chloroquine Bis-Phosphoric Acid	708 845
CID000002719	Chloroquine HCl	ChemIDplus
CID000002719	Chloroquine [USAN:INN:BAN]	845 LeadScope
CID000002719	Chloroquine [USP:INN:BAN]	ChemIDplus
CID000002719	Chloroquine bis(phosphate)	824 ChemIDplus LeadScope
CID000002719	Chloroquine dihydrochloride	ChemIDplus LeadScope
CID000002719	Chloroquine dihydrogen phosphate (1:2)	ChemIDplus LeadScope
CID000002719	Chloroquine diphosphate salt	1052 Sigma-Aldrich
CID000002719	Chloroquine hydrochloride	ChEMBL ChemIDplus LeadScope NextBio
CID000002719	Chloroquine hydrochloride (USP)	KEGG
CID000002719	Chloroquine hydrochloride [USAN]	LeadScope
CID000002719	Chloroquine phosphate (USP)	KEGG
CID000002719	Chloroquine phosphate [USAN:BAN]	LeadScope
CID000002719	Chloroquine phosphate [USP:BAN]	ChemIDplus
CID000002719	Chloroquine sulfate	814 ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI KEGG LeadScope
CID000002719	Chloroquine sulphate	814 ChEBI ChEMBL ChemIDplus Comparative_Toxicogenomics_Database Hangzhou_APIChem_Technology LeadScope
CID000002719	Chloroquine, D-	845 ChemIDplus
CID000002719	Chloroquine, phosphate	ChemIDplus LeadScope
CID000002719	Chloroquinine phosphate	ChemIDplus LeadScope
CID000002719	Chloroquinium	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Chloroquinone Phosphate	1052 MP_Biomedicals
CID000002719	Chloroquinum [INN-Latin]	845 ChemIDplus LeadScope
CID000002719	Chlorquin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Chlorquine sulfate	ChEBI ChemIDplus DTP/NCI LeadScope
CID000002719	Cidanchin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Cisplaquin	ChemIDplus LeadScope
CID000002719	Clorochina	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Clorochina [DCIT]	845 ChemIDplus LeadScope
CID000002719	Cloroquina [INN-Spanish]	845 ChemIDplus LeadScope
CID000002719	Cocartrit	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	D002738	Comparative_Toxicogenomics_Database
CID000002719	D02125	KEGG
CID000002719	D02366	845 KEGG
CID000002719	D03469	KEGG
CID000002719	D07680	KEGG
CID000002719	DAP000165	845
CID000002719	DAP001357	845
CID000002719	DB00608	845 DrugBank
CID000002719	DSSTox_CID_24681	824
CID000002719	DSSTox_GSID_44681	824
CID000002719	DSSTox_RID_80393	824
CID000002719	Dichinalex	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	DivK1c_000404	845 ChemBank
CID000002719	EGb 761	Comparative_Toxicogenomics_Database
CID000002719	EGb-761	Comparative_Toxicogenomics_Database
CID000002719	EGb761	Comparative_Toxicogenomics_Database
CID000002719	EINECS 200-055-2	ChemIDplus LeadScope
CID000002719	EINECS 200-191-2	845 ChemIDplus LeadScope
CID000002719	EINECS 205-077-6	ChemIDplus LeadScope
CID000002719	EINECS 222-592-1	ChemIDplus LeadScope
CID000002719	EU-0100296	Emory_University_Molecular_Libraries_Screening_Center
CID000002719	Elestol	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	GBE 761	Comparative_Toxicogenomics_Database
CID000002719	GBE 761 ONC	Comparative_Toxicogenomics_Database
CID000002719	GBE-761	Comparative_Toxicogenomics_Database
CID000002719	GNF-Pf-4216	784 ChEMBL
CID000002719	Ginkgo biloba extract 761	Comparative_Toxicogenomics_Database
CID000002719	Gontochin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Gontochin phosphate	845 ChemIDplus DTP/NCI LeadScope NIAID
CID000002719	H-Stadur	ChemIDplus LeadScope
CID000002719	HMS1569N17	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HMS1920O05	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HMS2090O03	845 ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HMS2091C16	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HMS2096N17	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HMS3260L14	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HMS501E06	ICCB-Longwood/NSRB_Screening_Facility,_Harvard_Medical_School
CID000002719	HSDB 3029	845 ChemIDplus LeadScope
CID000002719	Heliopar	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	IDI1_000404	845 ChemBank
CID000002719	Ipsen 225	845 ChemIDplus DTP/NCI LeadScope NIAID
CID000002719	Iroquine	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	KBio1_000404	845 ChemBank
CID000002719	KBio2_000592	845 ChemBank
CID000002719	KBio2_003160	845 ChemBank
CID000002719	KBio2_005728	845 ChemBank
CID000002719	KBio3_001221	845 ChemBank
CID000002719	KBioGR_000778	845 ChemBank
CID000002719	KBioSS_000592	845 ChemBank
CID000002719	Khingamin	845 ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI LeadScope NIAID
CID000002719	Klorokin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	LP00296	1102
CID000002719	LS-141311	LeadScope
CID000002719	LS-141726	845 LeadScope
CID000002719	LS-141727	LeadScope
CID000002719	LS-141733	LeadScope
CID000002719	LS-141735	LeadScope
CID000002719	LS-190658	LeadScope
CID000002719	Lapaquin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Lariago	ChemIDplus LeadScope
CID000002719	Lopac0_000296	845 ChemBank
CID000002719	MLS-0466768.0001	Burnham_Center_for_Chemical_Genomics
CID000002719	Malaquin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Malaquin (*Diphosphate*)	845 NIAID
CID000002719	Malaren	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Malarex	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Mesylith	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Miniquine	845 ChemIDplus DTP/NCI LeadScope NIAID
CID000002719	MolMap_000009	845 ChemBank
CID000002719	MolPort-001-783-623	845
CID000002719	MolPort-003-665-488	MolPort
CID000002719	NCGC00015256-01	824
CID000002719	NCGC00015256-02	NCGC
CID000002719	NCGC00015256-03	NCGC
CID000002719	NCGC00015256-04	845 NCGC
CID000002719	NCGC00015256-05	NCGC
CID000002719	NCGC00015256-06	NCGC
CID000002719	NCGC00015256-07	NCGC
CID000002719	NCGC00015256-08	NCGC
CID000002719	NCGC00015256-09	NCGC
CID000002719	NCGC00015256-10	NCGC
CID000002719	NCGC00093746-01	NCGC
CID000002719	NCGC00093746-02	NCGC
CID000002719	NCGC00093746-03	NCGC
CID000002719	NCGC00162120-01	845 NCGC
CID000002719	NCGC00180905-01	NCGC
CID000002719	NCGC00180905-02	NCGC
CID000002719	NCGC00260384-01	824
CID000002719	NCI60_000894	845 ChemBank
CID000002719	NINDS_000404	845 ChemBank
CID000002719	NSC 14050	ChemIDplus LeadScope
CID000002719	NSC 187208	845 ChemIDplus LeadScope
CID000002719	NSC 292296	ChemIDplus LeadScope
CID000002719	NSC-14050	DTP/NCI
CID000002719	NSC-187208	ChEMBL DTP/NCI
CID000002719	NSC-292296	DTP/NCI
CID000002719	NSC-756681	DTP/NCI
CID000002719	NSC14050	845 DTP/NCI NIAID
CID000002719	NSC187208	845 DTP/NCI NIAID
CID000002719	NSC292296	DTP/NCI
CID000002719	NSC756681	DTP/NCI
CID000002719	Neochin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Nivachine	1052 845 DTP/NCI DrugBank
CID000002719	Nivaquine	1052 ChEBI ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank LeadScope NextBio
CID000002719	Nivaquine (TN)	KEGG
CID000002719	Nivaquine B	1052 845 ChEBI ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Pfizerquine	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Pharmakon1600-01500179	DTP/NCI
CID000002719	Prestwick0_000548	845 ChemBank
CID000002719	Prestwick1_000548	845 ChemBank
CID000002719	Prestwick2_000548	845 ChemBank
CID000002719	Prestwick3_000548	845 ChemBank
CID000002719	Prestwick_867	PDSP
CID000002719	Quinachlor	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Quinagamin	1052 845 DTP/NCI DrugBank
CID000002719	Quinagamine	1052 845 DTP/NCI DrugBank
CID000002719	Quinercyl	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Quingamine	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Quinilon	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Quinoline, diphosphate	DTP/NCI
CID000002719	Quinoline, sulfate (1:1)	DTP/NCI
CID000002719	Quinoscan	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	RP 3377	845 ChemIDplus DTP/NCI LeadScope
CID000002719	RP-3377	845 NIAID
CID000002719	Resochen	1052 845 DTP/NCI DrugBank
CID000002719	Resochin	1052 845 ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank LeadScope NIAID
CID000002719	Resochin diphosphate	DTP/NCI
CID000002719	Resoquina	1052 845 DTP/NCI DrugBank
CID000002719	Resoquine	1052 845 ChEBI ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Reumachlor	1052 845 ChEBI ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Reumaquin	1052 845 DTP/NCI DrugBank
CID000002719	Rivoquine	845 DTP/NCI NIAID
CID000002719	Ro 01-6014/N2	845 LeadScope
CID000002719	Rokan	Comparative_Toxicogenomics_Database
CID000002719	Ronaquine	845 ChemIDplus LeadScope
CID000002719	Roquine	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	SBB057010	765 Ambinter
CID000002719	SBB072644	765
CID000002719	SMP2_000034	845 ChemBank
CID000002719	SN 6718	845 DTP/NCI
CID000002719	SN 7,618	ChemIDplus DTP/NCI LeadScope
CID000002719	SN 7618	ChemIDplus DTP/NCI LeadScope
CID000002719	SN-7618	845 NIAID
CID000002719	SPBio_000174	845 ChemBank
CID000002719	SPBio_002516	845 ChemBank
CID000002719	SPECTRUM1500179	Emory_University_Molecular_Libraries_Screening_Center
CID000002719	ST 21	845 ChemIDplus LeadScope
CID000002719	ST 21 (pharmaceutical)	845 ChemIDplus LeadScope
CID000002719	ST45028748	765
CID000002719	ST50993911	765
CID000002719	Sanoquin	1052 845 ChEBI ChemIDplus DTP/NCI DrugBank LeadScope NIAID
CID000002719	Silbesan	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Siragan	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Solprina	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Sopaquin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Spectrum2_000127	845 ChemBank
CID000002719	Spectrum3_000341	845 ChemBank
CID000002719	Spectrum4_000279	845 ChemBank
CID000002719	Spectrum5_000707	845 ChemBank
CID000002719	Spectrum_000132	845 ChemBank
CID000002719	Sulfate, Chloroquine	Comparative_Toxicogenomics_Database
CID000002719	Sulphate, Chloroquine	Comparative_Toxicogenomics_Database
CID000002719	SureCN10456553	992
CID000002719	SureCN1612726	992
CID000002719	SureCN2785005	992
CID000002719	SureCN371444	992
CID000002719	SureCN371445	992
CID000002719	SureCN40829	992
CID000002719	SureCN41313	992
CID000002719	SureCN4745454	992
CID000002719	SureCN5488804	992
CID000002719	SureCN8474661	992
CID000002719	SureCN8933	992
CID000002719	SureCN9862220	992
CID000002719	Tanakan	1052 845 ChemIDplus Comparative_Toxicogenomics_Database DTP/NCI DrugBank LeadScope NIAID
CID000002719	Tanakan (antimalarial)	ChemIDplus LeadScope
CID000002719	Tanakene	845 ChemIDplus DTP/NCI LeadScope NIAID
CID000002719	Tebofortran	Comparative_Toxicogenomics_Database
CID000002719	Tebokan	Comparative_Toxicogenomics_Database
CID000002719	Tebonin	Comparative_Toxicogenomics_Database
CID000002719	Tox21_110115	824
CID000002719	Tox21_202838	824
CID000002719	Tresochin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	Trochin	1052 845 ChemIDplus DTP/NCI DrugBank LeadScope
CID000002719	UNII-6E17K3343P	ChemIDplus
CID000002719	UNII-7FY24HE2G3	ChemIDplus
CID000002719	UNII-886U3H6UFF	845 ChemIDplus
CID000002719	UNII-NT0J0815S5	ChemIDplus
CID000002719	UNII-OE48649K6N	ChemIDplus
CID000002719	W 7618	845 ChemIDplus DTP/NCI LeadScope
CID000002719	WIN 244	845 ChemIDplus DTP/NCI LeadScope
CID000002719	WLN: T66 BNJ EMY1&3N2&2 IG	845 DTP/NCI
