cellline	ID	chrom	loc.start	loc.end	num.mark	seg.mean
600MPE	X080122_SNP6.0_600MPE_C01	1	105220848	105221554	2	-3.2162
600MPE	X080122_SNP6.0_600MPE_C01	1	105223441	110028267	3086	0.0533
600MPE	X080122_SNP6.0_600MPE_C01	1	110028494	110041702	24	1.4899
600MPE	X080122_SNP6.0_600MPE_C01	1	110044477	116770703	4888	0.0405
600MPE	X080122_SNP6.0_600MPE_C01	1	116771173	116828550	43	0.5539
600MPE	X080122_SNP6.0_600MPE_C01	1	116828968	142719693	2459	0.057
600MPE	X080122_SNP6.0_600MPE_C01	1	142719733	148024649	1498	0.464
600MPE	X080122_SNP6.0_600MPE_C01	1	148024666	150822152	1500	0.7627
600MPE	X080122_SNP6.0_600MPE_C01	1	150822331	150853201	32	-2.5117
600MPE	X080122_SNP6.0_600MPE_C01	1	150853219	151026302	179	0.7277
600MPE	X080122_SNP6.0_600MPE_C01	1	151028548	151035325	31	-2.7829
600MPE	X080122_SNP6.0_600MPE_C01	1	151040529	157133197	3727	0.7438
600MPE	X080122_SNP6.0_600MPE_C01	1	157135126	157136384	2	-2.7423
600MPE	X080122_SNP6.0_600MPE_C01	1	157141443	186882381	21030	0.7747
600MPE	X080122_SNP6.0_600MPE_C01	1	186883517	186883617	2	4.6983
600MPE	X080122_SNP6.0_600MPE_C01	1	186884420	191422416	3031	0.8052
600MPE	X080122_SNP6.0_600MPE_C01	1	191422903	191422972	4	-1.3901
600MPE	X080122_SNP6.0_600MPE_C01	1	191426347	198280974	4568	0.8054
600MPE	X080122_SNP6.0_600MPE_C01	1	198281413	206581349	5724	0.7222
600MPE	X080122_SNP6.0_600MPE_C01	1	206582061	212268293	4120	0.7826
600MPE	X080122_SNP6.0_600MPE_C01	1	212269310	217203759	3685	0.8525
600MPE	X080122_SNP6.0_600MPE_C01	1	217204272	231709733	9939	0.7627
600MPE	X080122_SNP6.0_600MPE_C01	1	231711159	231711336	2	3.3972
600MPE	X080122_SNP6.0_600MPE_C01	1	231713378	238458364	5300	0.783
600MPE	X080122_SNP6.0_600MPE_C01	1	238460639	238460763	6	-0.8002
600MPE	X080122_SNP6.0_600MPE_C01	1	238462729	247191012	6110	0.784
600MPE	X080122_SNP6.0_600MPE_C01	2	2785	34544573	24748	0.0381
600MPE	X080122_SNP6.0_600MPE_C01	2	34554899	34594262	51	0.7164
600MPE	X080122_SNP6.0_600MPE_C01	2	34594304	40586456	4561	0.0597
600MPE	X080122_SNP6.0_600MPE_C01	2	40589239	40589835	2	-2.3418
600MPE	X080122_SNP6.0_600MPE_C01	2	40592001	52574759	8809	0.0473
600MPE	X080122_SNP6.0_600MPE_C01	2	52575328	52635047	73	0.4514
600MPE	X080122_SNP6.0_600MPE_C01	2	52641453	70573637	12086	0.0295
600MPE	X080122_SNP6.0_600MPE_C01	2	70574514	70576271	2	-2.7588
600MPE	X080122_SNP6.0_600MPE_C01	2	70576454	88909235	11112	0.0482
600MPE	X080122_SNP6.0_600MPE_C01	2	88910179	89276496	173	0.9787
600MPE	X080122_SNP6.0_600MPE_C01	2	89278611	154598055	36596	0.0451
600MPE	X080122_SNP6.0_600MPE_C01	2	154604222	154604729	2	-3.2575
600MPE	X080122_SNP6.0_600MPE_C01	2	154608470	165770354	6585	0.0398
600MPE	X080122_SNP6.0_600MPE_C01	2	165771243	165774123	2	3.3611
600MPE	X080122_SNP6.0_600MPE_C01	2	165774253	166813778	638	0.0444
600MPE	X080122_SNP6.0_600MPE_C01	2	166814018	166815175	3	-2.2649
600MPE	X080122_SNP6.0_600MPE_C01	2	166817638	242738130	48221	0.0325
600MPE	X080122_SNP6.0_600MPE_C01	3	35346	6589166	6005	0.051
600MPE	X080122_SNP6.0_600MPE_C01	3	6590143	6604319	4	2.0573
600MPE	X080122_SNP6.0_600MPE_C01	3	6604705	105904161	62619	0.0582
600MPE	X080122_SNP6.0_600MPE_C01	3	105904207	105904227	2	2.8922
600MPE	X080122_SNP6.0_600MPE_C01	3	105904316	133189387	17166	0.0426
600MPE	X080122_SNP6.0_600MPE_C01	3	133190848	133191162	2	-3.4156
600MPE	X080122_SNP6.0_600MPE_C01	3	133197689	194361516	39163	0.0571
600MPE	X080122_SNP6.0_600MPE_C01	3	194361701	194365598	10	-1.7284
600MPE	X080122_SNP6.0_600MPE_C01	3	194369130	199380516	2792	0.0335
600MPE	X080122_SNP6.0_600MPE_C01	4	2282	4537439	2054	0.0037
600MPE	X080122_SNP6.0_600MPE_C01	4	4542656	4543398	2	-2.1149
600MPE	X080122_SNP6.0_600MPE_C01	4	4543694	9066075	3428	0.0238
600MPE	X080122_SNP6.0_600MPE_C01	4	9070329	9088444	10	0.985
600MPE	X080122_SNP6.0_600MPE_C01	4	9094398	9819488	574	0.0321
600MPE	X080122_SNP6.0_600MPE_C01	4	9823258	9840597	29	3.1703
600MPE	X080122_SNP6.0_600MPE_C01	4	9843313	9844367	7	0.9379
600MPE	X080122_SNP6.0_600MPE_C01	4	9845240	9999814	171	-0.0666
600MPE	X080122_SNP6.0_600MPE_C01	4	10001452	10009610	11	-2.9168
600MPE	X080122_SNP6.0_600MPE_C01	4	10011817	32459586	16068	0.0681
600MPE	X080122_SNP6.0_600MPE_C01	4	32461869	32465818	2	-2.4727
600MPE	X080122_SNP6.0_600MPE_C01	4	32466388	40395331	5158	0.0477
600MPE	X080122_SNP6.0_600MPE_C01	4	40398769	40398950	3	-3.2354
600MPE	X080122_SNP6.0_600MPE_C01	4	40399444	67760647	15205	0.0666
600MPE	X080122_SNP6.0_600MPE_C01	4	67766676	67766731	3	-2.0775
600MPE	X080122_SNP6.0_600MPE_C01	4	67767009	69049738	725	0.0292
600MPE	X080122_SNP6.0_600MPE_C01	4	69054599	69168575	67	0.5094
600MPE	X080122_SNP6.0_600MPE_C01	4	69171931	70158100	344	0.0742
600MPE	X080122_SNP6.0_600MPE_C01	4	70162242	70178396	14	-2.0373
600MPE	X080122_SNP6.0_600MPE_C01	4	70183747	70189097	4	-7.6365
600MPE	X080122_SNP6.0_600MPE_C01	4	70189135	70266389	29	-2.4288
600MPE	X080122_SNP6.0_600MPE_C01	4	70266612	135138142	39741	0.0622
600MPE	X080122_SNP6.0_600MPE_C01	4	135143484	135407853	128	-0.7745
600MPE	X080122_SNP6.0_600MPE_C01	4	135408239	152036611	10193	0.0501
600MPE	X080122_SNP6.0_600MPE_C01	4	152036803	152037405	2	-2.5255
600MPE	X080122_SNP6.0_600MPE_C01	4	152038573	162093375	6549	0.0373
600MPE	X080122_SNP6.0_600MPE_C01	4	162093391	162093451	2	2.6366
600MPE	X080122_SNP6.0_600MPE_C01	4	162099469	164737312	1783	0.0482
600MPE	X080122_SNP6.0_600MPE_C01	4	164738067	164740434	3	2.5716
600MPE	X080122_SNP6.0_600MPE_C01	4	164740516	166934312	1514	0.0352
600MPE	X080122_SNP6.0_600MPE_C01	4	166936297	166937123	2	-2.3712
600MPE	X080122_SNP6.0_600MPE_C01	4	166937233	172614300	3596	0.0663
600MPE	X080122_SNP6.0_600MPE_C01	4	172614352	172614509	2	5.7459
600MPE	X080122_SNP6.0_600MPE_C01	4	172616947	173224433	405	0.0226
600MPE	X080122_SNP6.0_600MPE_C01	4	173224504	173226095	12	1.1022
600MPE	X080122_SNP6.0_600MPE_C01	4	173226109	177072993	2215	0.0687
600MPE	X080122_SNP6.0_600MPE_C01	4	177073252	177073373	2	-2.2568
600MPE	X080122_SNP6.0_600MPE_C01	4	177074178	191261905	10235	0.0618
600MPE	X080122_SNP6.0_600MPE_C01	5	68533	11913452	10006	0.0444
600MPE	X080122_SNP6.0_600MPE_C01	5	11913651	11914155	2	2.9504
600MPE	X080122_SNP6.0_600MPE_C01	5	11915424	12853890	525	0.051
600MPE	X080122_SNP6.0_600MPE_C01	5	12868781	12872979	7	-1.9925
600MPE	X080122_SNP6.0_600MPE_C01	5	12873077	27561665	9286	0.0661
600MPE	X080122_SNP6.0_600MPE_C01	5	27561674	27561713	4	-1.8829
600MPE	X080122_SNP6.0_600MPE_C01	5	27561728	57357403	16911	0.0649
600MPE	X080122_SNP6.0_600MPE_C01	5	57361785	57369291	32	2.1081
600MPE	X080122_SNP6.0_600MPE_C01	5	57374114	180722927	78894	0.0514
600MPE	X080122_SNP6.0_600MPE_C01	6	94662	18528299	14694	0.03
600MPE	X080122_SNP6.0_600MPE_C01	6	18530452	19738298	979	0.1422
600MPE	X080122_SNP6.0_600MPE_C01	6	19738384	19739194	2	-2.658
600MPE	X080122_SNP6.0_600MPE_C01	6	19743764	24203320	3333	0.0871
600MPE	X080122_SNP6.0_600MPE_C01	6	24207445	29945121	3349	0.0467
600MPE	X080122_SNP6.0_600MPE_C01	6	29945167	30012844	41	0.7404
600MPE	X080122_SNP6.0_600MPE_C01	6	30015734	32732283	1327	-0.0125
600MPE	X080122_SNP6.0_600MPE_C01	6	32732570	32734597	5	-2.3475
600MPE	X080122_SNP6.0_600MPE_C01	6	32743274	32798005	48	-0.1327
600MPE	X080122_SNP6.0_600MPE_C01	6	32798776	32798923	3	-3.5666
600MPE	X080122_SNP6.0_600MPE_C01	6	32800205	45020946	7983	0.0235
600MPE	X080122_SNP6.0_600MPE_C01	6	45022677	52275074	4753	0.0895
600MPE	X080122_SNP6.0_600MPE_C01	6	52276072	54039044	1338	0.0358
600MPE	X080122_SNP6.0_600MPE_C01	6	54039111	54039815	7	2.5411
600MPE	X080122_SNP6.0_600MPE_C01	6	54043308	55331414	827	0.0721
600MPE	X080122_SNP6.0_600MPE_C01	6	55331460	55333044	3	-2.4718
600MPE	X080122_SNP6.0_600MPE_C01	6	55345682	55933454	401	0.0591
600MPE	X080122_SNP6.0_600MPE_C01	6	55934115	55951620	10	-0.9123
600MPE	X080122_SNP6.0_600MPE_C01	6	55958838	58121452	1101	0.0777
600MPE	X080122_SNP6.0_600MPE_C01	6	58122202	58122696	2	2.6271
600MPE	X080122_SNP6.0_600MPE_C01	6	58123014	65666880	2279	0.057
600MPE	X080122_SNP6.0_600MPE_C01	6	65668234	65668650	2	2.8243
600MPE	X080122_SNP6.0_600MPE_C01	6	65669593	80519868	10002	0.0564
600MPE	X080122_SNP6.0_600MPE_C01	6	80520059	80521245	3	2.8167
600MPE	X080122_SNP6.0_600MPE_C01	6	80522829	94408498	9150	0.0731
600MPE	X080122_SNP6.0_600MPE_C01	6	94409786	94413114	2	-3.1969
600MPE	X080122_SNP6.0_600MPE_C01	6	94415236	100883070	4007	0.0875
600MPE	X080122_SNP6.0_600MPE_C01	6	100884217	100888225	2	-2.3821
600MPE	X080122_SNP6.0_600MPE_C01	6	100888297	103841497	1759	0.0801
600MPE	X080122_SNP6.0_600MPE_C01	6	103841510	103868755	48	0.7357
600MPE	X080122_SNP6.0_600MPE_C01	6	103872164	170892931	45370	0.0524
600MPE	X080122_SNP6.0_600MPE_C01	7	52912	21019028	15335	0.0479
600MPE	X080122_SNP6.0_600MPE_C01	7	21020013	21020453	2	2.6783
600MPE	X080122_SNP6.0_600MPE_C01	7	21021479	54347868	24186	0.049
600MPE	X080122_SNP6.0_600MPE_C01	7	54354000	54354007	4	-2.5176
600MPE	X080122_SNP6.0_600MPE_C01	7	54354009	64601087	3405	0.0447
600MPE	X080122_SNP6.0_600MPE_C01	7	64603589	64699037	20	0.7531
600MPE	X080122_SNP6.0_600MPE_C01	7	64703609	70058375	3053	0.0511
600MPE	X080122_SNP6.0_600MPE_C01	7	70058926	70064078	3	3.5612
600MPE	X080122_SNP6.0_600MPE_C01	7	70066179	109221035	22971	0.0603
600MPE	X080122_SNP6.0_600MPE_C01	7	109224329	109241219	34	-1.0943
600MPE	X080122_SNP6.0_600MPE_C01	7	109241466	111846068	1746	0.0956
600MPE	X080122_SNP6.0_600MPE_C01	7	111850878	111850878	2	2.4901
600MPE	X080122_SNP6.0_600MPE_C01	7	111851144	118405398	3940	0.0553
600MPE	X080122_SNP6.0_600MPE_C01	7	118405796	118406163	2	-2.4061
600MPE	X080122_SNP6.0_600MPE_C01	7	118406845	133429190	9329	0.0547
600MPE	X080122_SNP6.0_600MPE_C01	7	133429193	133449084	35	0.6946
600MPE	X080122_SNP6.0_600MPE_C01	7	133449099	141699579	5544	0.0554
600MPE	X080122_SNP6.0_600MPE_C01	7	141699625	141704780	9	-3.558
600MPE	X080122_SNP6.0_600MPE_C01	7	141704839	141707985	7	-0.3798
600MPE	X080122_SNP6.0_600MPE_C01	7	141708099	141712587	8	-1.6945
600MPE	X080122_SNP6.0_600MPE_C01	7	141715789	151340304	6263	0.0606
600MPE	X080122_SNP6.0_600MPE_C01	7	151342898	151667994	136	-0.5832
600MPE	X080122_SNP6.0_600MPE_C01	7	151671080	154989148	2444	0.0477
600MPE	X080122_SNP6.0_600MPE_C01	7	154989376	155966916	738	-0.6564
600MPE	X080122_SNP6.0_600MPE_C01	7	155967515	155971389	3	-3.0092
600MPE	X080122_SNP6.0_600MPE_C01	7	155971774	157835800	1123	-0.596
600MPE	X080122_SNP6.0_600MPE_C01	7	157838981	158819766	655	0.07
600MPE	X080122_SNP6.0_600MPE_C01	8	21255	4155911	4364	0.0434
600MPE	X080122_SNP6.0_600MPE_C01	8	4156009	4156072	3	-2.0539
600MPE	X080122_SNP6.0_600MPE_C01	8	4156372	7783390	3944	0.028
600MPE	X080122_SNP6.0_600MPE_C01	8	7783779	7785110	3	-2.5247
600MPE	X080122_SNP6.0_600MPE_C01	8	7787799	8034442	89	-0.0058
600MPE	X080122_SNP6.0_600MPE_C01	8	8034592	8185409	82	0.4732
600MPE	X080122_SNP6.0_600MPE_C01	8	8185680	12260381	3320	0.0324
600MPE	X080122_SNP6.0_600MPE_C01	8	12261220	12278772	9	-2
600MPE	X080122_SNP6.0_600MPE_C01	8	12284207	25028104	10883	0.0752
600MPE	X080122_SNP6.0_600MPE_C01	8	25030394	25035472	13	-0.7875
600MPE	X080122_SNP6.0_600MPE_C01	8	25035822	39365833	9265	0.0607
600MPE	X080122_SNP6.0_600MPE_C01	8	39366269	39506123	58	0.9565
600MPE	X080122_SNP6.0_600MPE_C01	8	39507457	40225928	519	0.0712
600MPE	X080122_SNP6.0_600MPE_C01	8	40225961	40226595	2	3.6646
600MPE	X080122_SNP6.0_600MPE_C01	8	40226718	40586173	348	0.0447
600MPE	X080122_SNP6.0_600MPE_C01	8	40588400	40589271	3	-2.5551
600MPE	X080122_SNP6.0_600MPE_C01	8	40594149	87059567	26302	0.0551
600MPE	X080122_SNP6.0_600MPE_C01	8	87060228	87069225	2	3.9284
600MPE	X080122_SNP6.0_600MPE_C01	8	87074706	115704878	17469	0.0566
600MPE	X080122_SNP6.0_600MPE_C01	8	115707527	116106295	286	0.1202
600MPE	X080122_SNP6.0_600MPE_C01	8	116108168	116108214	2	2.5071
600MPE	X080122_SNP6.0_600MPE_C01	8	116111165	123387482	5019	0.1102
600MPE	X080122_SNP6.0_600MPE_C01	8	123388011	130624775	5274	0.0529
600MPE	X080122_SNP6.0_600MPE_C01	8	130625271	130625329	2	2.823
600MPE	X080122_SNP6.0_600MPE_C01	8	130627851	140529597	8083	0.0764
600MPE	X080122_SNP6.0_600MPE_C01	8	140533020	146268960	2931	-0.0066
600MPE	X080122_SNP6.0_600MPE_C01	9	36431	3430355	3661	-0.7672
600MPE	X080122_SNP6.0_600MPE_C01	9	3436097	3500569	28	0.114
600MPE	X080122_SNP6.0_600MPE_C01	9	3506556	7463091	3689	-0.7891
600MPE	X080122_SNP6.0_600MPE_C01	9	7468148	7603133	183	0.0513
600MPE	X080122_SNP6.0_600MPE_C01	9	7605374	7628697	15	-0.5855
600MPE	X080122_SNP6.0_600MPE_C01	9	7628707	7649850	9	0.1046
600MPE	X080122_SNP6.0_600MPE_C01	9	7649924	10532539	2762	-0.7781
600MPE	X080122_SNP6.0_600MPE_C01	9	10532612	10532632	2	-6.3336
600MPE	X080122_SNP6.0_600MPE_C01	9	10532653	17622364	5964	-0.756
600MPE	X080122_SNP6.0_600MPE_C01	9	17622543	17623309	3	-4.4623
600MPE	X080122_SNP6.0_600MPE_C01	9	17624920	22482890	4076	-0.7569
600MPE	X080122_SNP6.0_600MPE_C01	9	22491914	22492700	2	-3.5012
600MPE	X080122_SNP6.0_600MPE_C01	9	22499341	23113627	424	-0.8086
600MPE	X080122_SNP6.0_600MPE_C01	9	23113773	23117562	2	-3.3727
600MPE	X080122_SNP6.0_600MPE_C01	9	23117572	23351805	165	-0.7269
600MPE	X080122_SNP6.0_600MPE_C01	9	23357170	23363485	4	-2.7967
600MPE	X080122_SNP6.0_600MPE_C01	9	23368488	36490359	9303	-0.7696
600MPE	X080122_SNP6.0_600MPE_C01	9	36490619	36491631	2	-5.7833
600MPE	X080122_SNP6.0_600MPE_C01	9	36493255	39800646	1839	-0.7736
600MPE	X080122_SNP6.0_600MPE_C01	9	40085483	44569220	206	-0.3753
600MPE	X080122_SNP6.0_600MPE_C01	9	44667856	44764260	34	0.6966
600MPE	X080122_SNP6.0_600MPE_C01	9	44767041	45028889	26	0.038
600MPE	X080122_SNP6.0_600MPE_C01	9	45052358	70139849	391	-0.2505
600MPE	X080122_SNP6.0_600MPE_C01	9	70156385	77461435	5338	0.0404
600MPE	X080122_SNP6.0_600MPE_C01	9	77461640	77461845	2	-2.3731
600MPE	X080122_SNP6.0_600MPE_C01	9	77462560	79230523	1556	0.009
600MPE	X080122_SNP6.0_600MPE_C01	9	79231461	88165925	6422	0.0797
600MPE	X080122_SNP6.0_600MPE_C01	9	88169171	99215524	7773	0.006
600MPE	X080122_SNP6.0_600MPE_C01	9	99218855	99222163	3	2.4963
600MPE	X080122_SNP6.0_600MPE_C01	9	99222763	122602670	18099	0.0356
600MPE	X080122_SNP6.0_600MPE_C01	9	122612685	127673582	3099	-5e-04
600MPE	X080122_SNP6.0_600MPE_C01	9	127675490	127675520	2	-2.4624
600MPE	X080122_SNP6.0_600MPE_C01	9	127676496	140211216	7085	-0.0182
600MPE	X080122_SNP6.0_600MPE_C01	10	62760	10464217	9102	0.0274
600MPE	X080122_SNP6.0_600MPE_C01	10	10464979	10467801	2	2.7905
600MPE	X080122_SNP6.0_600MPE_C01	10	10467972	17967561	6203	0.015
600MPE	X080122_SNP6.0_600MPE_C01	10	17978215	17989864	2	2.6847
600MPE	X080122_SNP6.0_600MPE_C01	10	18011823	18213970	13	-0.019
600MPE	X080122_SNP6.0_600MPE_C01	10	18225130	18239820	3	-3.2094
600MPE	X080122_SNP6.0_600MPE_C01	10	18263654	18854201	535	0.04
600MPE	X080122_SNP6.0_600MPE_C01	10	18857515	18857636	2	2.4644
600MPE	X080122_SNP6.0_600MPE_C01	10	18859788	22424050	2590	0.0354
600MPE	X080122_SNP6.0_600MPE_C01	10	22424446	22426424	2	-2.0495
600MPE	X080122_SNP6.0_600MPE_C01	10	22430268	24417681	1316	0.0495
600MPE	X080122_SNP6.0_600MPE_C01	10	24417682	24418061	6	-2.7317
600MPE	X080122_SNP6.0_600MPE_C01	10	24418915	38043676	9747	0.058
600MPE	X080122_SNP6.0_600MPE_C01	10	38044365	38044790	2	2.6593
600MPE	X080122_SNP6.0_600MPE_C01	10	38044852	42933825	1048	0.0539
600MPE	X080122_SNP6.0_600MPE_C01	10	42933868	42934214	4	-1.2836
600MPE	X080122_SNP6.0_600MPE_C01	10	42934355	45468332	1821	0.0204
600MPE	X080122_SNP6.0_600MPE_C01	10	45468414	46790375	243	0.2248
600MPE	X080122_SNP6.0_600MPE_C01	10	46812339	47432906	212	0.0102
600MPE	X080122_SNP6.0_600MPE_C01	10	47433408	47468067	2	3.1789
600MPE	X080122_SNP6.0_600MPE_C01	10	47470908	48522383	305	0.1025
600MPE	X080122_SNP6.0_600MPE_C01	10	48548798	48665902	7	-1.2111
600MPE	X080122_SNP6.0_600MPE_C01	10	48702226	55704762	4787	0.0322
600MPE	X080122_SNP6.0_600MPE_C01	10	55706342	55708636	2	3.0859
600MPE	X080122_SNP6.0_600MPE_C01	10	55708837	63382552	5648	0.0844
600MPE	X080122_SNP6.0_600MPE_C01	10	63382833	63597367	144	0.4682
600MPE	X080122_SNP6.0_600MPE_C01	10	63602678	69866586	4186	0.0506
600MPE	X080122_SNP6.0_600MPE_C01	10	69866915	69871644	2	2.8578
600MPE	X080122_SNP6.0_600MPE_C01	10	69872550	71036572	740	0.0191
600MPE	X080122_SNP6.0_600MPE_C01	10	71037223	71037704	2	-2.4939
600MPE	X080122_SNP6.0_600MPE_C01	10	71041135	82700178	7675	0.0229
600MPE	X080122_SNP6.0_600MPE_C01	10	82701617	82702297	2	-2.2961
600MPE	X080122_SNP6.0_600MPE_C01	10	82704127	88734936	4462	0.0574
600MPE	X080122_SNP6.0_600MPE_C01	10	88735062	88735346	2	2.5232
600MPE	X080122_SNP6.0_600MPE_C01	10	88745914	108139469	12400	0.0359
600MPE	X080122_SNP6.0_600MPE_C01	10	108139793	108143342	2	-5.4618
600MPE	X080122_SNP6.0_600MPE_C01	10	108144349	117496201	6750	0.0376
600MPE	X080122_SNP6.0_600MPE_C01	10	117496526	117496769	2	-2.3588
600MPE	X080122_SNP6.0_600MPE_C01	10	117496930	129345064	9212	0.0507
600MPE	X080122_SNP6.0_600MPE_C01	10	129345336	129346813	2	-2.4502
600MPE	X080122_SNP6.0_600MPE_C01	10	129347092	135356695	4398	0.0278
600MPE	X080122_SNP6.0_600MPE_C01	11	188510	610599	149	-0.7886
600MPE	X080122_SNP6.0_600MPE_C01	11	618754	920402	99	-0.0246
600MPE	X080122_SNP6.0_600MPE_C01	11	923357	1617013	278	-0.7626
600MPE	X080122_SNP6.0_600MPE_C01	11	1617301	4924693	2057	0.0364
600MPE	X080122_SNP6.0_600MPE_C01	11	4925087	4930047	10	-1.221
600MPE	X080122_SNP6.0_600MPE_C01	11	4930120	4932834	14	-3.2073
600MPE	X080122_SNP6.0_600MPE_C01	11	4932849	8327411	2855	0.0243
600MPE	X080122_SNP6.0_600MPE_C01	11	8333438	8367197	31	-0.825
600MPE	X080122_SNP6.0_600MPE_C01	11	8370177	10726238	1529	0.0395
600MPE	X080122_SNP6.0_600MPE_C01	11	10726393	10768912	24	0.5641
600MPE	X080122_SNP6.0_600MPE_C01	11	10770189	10837650	63	0.8905
600MPE	X080122_SNP6.0_600MPE_C01	11	10838328	11998574	1156	0.455
600MPE	X080122_SNP6.0_600MPE_C01	11	12000653	12054205	60	0.0087
600MPE	X080122_SNP6.0_600MPE_C01	11	12054403	12205851	171	0.4231
600MPE	X080122_SNP6.0_600MPE_C01	11	12207523	16252988	2921	0.067
600MPE	X080122_SNP6.0_600MPE_C01	11	16259340	17966447	1151	0.4793
600MPE	X080122_SNP6.0_600MPE_C01	11	17966713	22300731	3660	0.0509
600MPE	X080122_SNP6.0_600MPE_C01	11	22308044	22308182	2	-5.0193
600MPE	X080122_SNP6.0_600MPE_C01	11	22311822	26317241	3067	0.0541
600MPE	X080122_SNP6.0_600MPE_C01	11	26317253	26552978	199	0.4945
600MPE	X080122_SNP6.0_600MPE_C01	11	26556947	27621105	750	0.1081
600MPE	X080122_SNP6.0_600MPE_C01	11	27621257	32715037	3310	0.5055
600MPE	X080122_SNP6.0_600MPE_C01	11	32716613	32948110	115	0.0706
600MPE	X080122_SNP6.0_600MPE_C01	11	32948185	32951337	2	1.9182
600MPE	X080122_SNP6.0_600MPE_C01	11	32951921	34658193	1275	0.0125
600MPE	X080122_SNP6.0_600MPE_C01	11	34658734	34658882	2	2.2178
600MPE	X080122_SNP6.0_600MPE_C01	11	34658942	36962060	2007	0.0332
600MPE	X080122_SNP6.0_600MPE_C01	11	36973462	37192192	209	0.4978
600MPE	X080122_SNP6.0_600MPE_C01	11	37192419	37208626	6	-0.6517
600MPE	X080122_SNP6.0_600MPE_C01	11	37209931	37278971	40	0.6002
600MPE	X080122_SNP6.0_600MPE_C01	11	37279532	40739867	2164	0.075
600MPE	X080122_SNP6.0_600MPE_C01	11	40750109	41933540	907	0.5189
600MPE	X080122_SNP6.0_600MPE_C01	11	41933715	44581086	1893	0.0549
600MPE	X080122_SNP6.0_600MPE_C01	11	44585055	44680915	93	0.422
600MPE	X080122_SNP6.0_600MPE_C01	11	44684751	44687317	2	2.2664
600MPE	X080122_SNP6.0_600MPE_C01	11	44687483	45667606	788	0.425
600MPE	X080122_SNP6.0_600MPE_C01	11	45667716	45855725	109	-0.001
600MPE	X080122_SNP6.0_600MPE_C01	11	45856538	48191457	1036	0.478
600MPE	X080122_SNP6.0_600MPE_C01	11	48193129	48662419	228	0.0653
600MPE	X080122_SNP6.0_600MPE_C01	11	48666305	48667001	3	-1.433
600MPE	X080122_SNP6.0_600MPE_C01	11	48667002	48722705	21	0.0793
600MPE	X080122_SNP6.0_600MPE_C01	11	48729239	49033177	94	0.5302
600MPE	X080122_SNP6.0_600MPE_C01	11	49035448	55034968	1041	0.0695
600MPE	X080122_SNP6.0_600MPE_C01	11	55035143	55548122	385	0.5658
600MPE	X080122_SNP6.0_600MPE_C01	11	55548129	55716325	114	0.0803
600MPE	X080122_SNP6.0_600MPE_C01	11	55723767	58049612	1484	0.4834
600MPE	X080122_SNP6.0_600MPE_C01	11	58050225	58625800	315	0.0432
