LINCS_ID	DREAM_ID	Primary_Target
Glycyl-H-1152	IGFR_2	IGF1R
SB525334	IGFR_3	IGF1R
Afatinib	IGFR_3	IGF1R
GSK1904529A	IGFR_3	IGF1R
5-FU	IGFR_3	IGF1R
Glycyl-H-1152	IGFR_3	IGF1R
SB525334	IGFR_4	IGF1R
Afatinib	IGFR_4	IGF1R
GSK1904529A	IGFR_4	IGF1R
5-FU	IGFR_4	IGF1R
Glycyl-H-1152	IGFR_4	IGF1R
BMS509744	JAK	JAK1
Ruxolitinib	JAK	JAK2
AZD-1480	JAK	JAK1
CYT387	JAK	JAK2
KU63794	JAK	JAK2
AZD8055	MAP2K_RAF	BRAF
A443654	MAP2K_RAF	BRAF
PD184352	MAP2K_RAF	BRAF
PLX-4720	MAP2K_RAF	BRAF
AZD1152-HQPA	MAP2K_RAF	BRAF
CHIR-99021	MAP2K_RAF	BRAF
INK-128	MAP2K_RAF	BRAF
Ixabepilone	MAP2K_RAF	BRAF
XRP44X	MAP2K_RAF	BRAF
Imatinib	MET_ALK	ALK
NVP-BHG712	MET_ALK	ALK
HG-14-8-02	MET_ALK	ALK
BMS 777607	PARP1	PARP1
Olaparib	PARP1	PARP1
RG-108	PARP1	PARP1
Iniparib	PARP1	PARP1
BMS 777607	PARP1_2	PARP1
Olaparib	PARP1_2	PARP1
RG-108	PARP1_2	PARP1
Iniparib	PARP1_2	PARP1
A66	PI3KCD	PIK3CD
SB590885	PIK3C	PIK3CA
Rapamycin	PIK3C	PIK3CA
ZSTK474	PIK3C	PIK3CG
CG-930	PIK3C	PIK3CB
PHA-665752	PIK3C	PIK3CA
Veliparib	PIK3C	PIK3CA
GSK2126458	PIK3C	PIK3CA
NVP-BKM120	PIK3C	PIK3CA
JNJ 26854165	PIK3C	PIK3CB
TGX221	PIK3C	PIK3CA
Bosutinib	PIK3C	PIK3CG
D 4476	PIK3C	PIK3CA
A66	PIK3C	PIK3CD
BEZ235	PIK3C	PIK3CA
AG1024	PIK3C	PIK3CG
SB590885	PIK3C_2	PIK3CA
Rapamycin	PIK3C_2	PIK3CA
ZSTK474	PIK3C_2	PIK3CG
CG-930	PIK3C_2	PIK3CB
PHA-665752	PIK3C_2	PIK3CA
Veliparib	PIK3C_2	PIK3CA
GSK2126458	PIK3C_2	PIK3CA
NVP-BKM120	PIK3C_2	PIK3CA
JNJ 26854165	PIK3C_2	PIK3CB
TGX221	PIK3C_2	PIK3CA
Bosutinib	PIK3C_2	PIK3CG
D 4476	PIK3C_2	PIK3CA
A66	PIK3C_2	PIK3CD
BEZ235	PIK3C_2	PIK3CA
AG1024	PIK3C_2	PIK3CG
SB590885	PIK3C_MTOR	PIK3CA
Rapamycin	PIK3C_MTOR	PIK3CA
ZSTK474	PIK3C_MTOR	PIK3CG
CG-930	PIK3C_MTOR	PIK3CB
PHA-665752	PIK3C_MTOR	PIK3CA
Veliparib	PIK3C_MTOR	PIK3CA
GSK2126458	PIK3C_MTOR	PIK3CA
NVP-BKM120	PIK3C_MTOR	PIK3CA
JNJ 26854165	PIK3C_MTOR	PIK3CB
TGX221	PIK3C_MTOR	PIK3CA
Bosutinib	PIK3C_MTOR	PIK3CG
D 4476	PIK3C_MTOR	PIK3CA
A66	PIK3C_MTOR	PIK3CD
BEZ235	PIK3C_MTOR	PIK3CA
AG1024	PIK3C_MTOR	PIK3CG
SB590885	PIK3C_MTOR_2	PIK3CA
Rapamycin	PIK3C_MTOR_2	PIK3CA
ZSTK474	PIK3C_MTOR_2	PIK3CG
CG-930	PIK3C_MTOR_2	PIK3CB
PHA-665752	PIK3C_MTOR_2	PIK3CA
Veliparib	PIK3C_MTOR_2	PIK3CA
GSK2126458	PIK3C_MTOR_2	PIK3CA
NVP-BKM120	PIK3C_MTOR_2	PIK3CA
JNJ 26854165	PIK3C_MTOR_2	PIK3CB
TGX221	PIK3C_MTOR_2	PIK3CA
Bosutinib	PIK3C_MTOR_2	PIK3CG
D 4476	PIK3C_MTOR_2	PIK3CA
A66	PIK3C_MTOR_2	PIK3CD
BEZ235	PIK3C_MTOR_2	PIK3CA
AG1024	PIK3C_MTOR_2	PIK3CG
SB590885	PIK3CA_2	PIK3CA
Rapamycin	PIK3CA_2	PIK3CA
PHA-665752	PIK3CA_2	PIK3CA
Veliparib	PIK3CA_2	PIK3CA
GSK2126458	PIK3CA_2	PIK3CA
NVP-BKM120	PIK3CA_2	PIK3CA
TGX221	PIK3CA_2	PIK3CA
D 4476	PIK3CA_2	PIK3CA
BEZ235	PIK3CA_2	PIK3CA
SB590885	PIK3CA_3	PIK3CA
Rapamycin	PIK3CA_3	PIK3CA
PHA-665752	PIK3CA_3	PIK3CA
Veliparib	PIK3CA_3	PIK3CA
GSK2126458	PIK3CA_3	PIK3CA
NVP-BKM120	PIK3CA_3	PIK3CA
TGX221	PIK3CA_3	PIK3CA
D 4476	PIK3CA_3	PIK3CA
BEZ235	PIK3CA_3	PIK3CA
SB590885	PIK3CA_4	PIK3CA
Rapamycin	PIK3CA_4	PIK3CA
PHA-665752	PIK3CA_4	PIK3CA
Veliparib	PIK3CA_4	PIK3CA
GSK2126458	PIK3CA_4	PIK3CA
NVP-BKM120	PIK3CA_4	PIK3CA
TGX221	PIK3CA_4	PIK3CA
D 4476	PIK3CA_4	PIK3CA
BEZ235	PIK3CA_4	PIK3CA
CG-930	PIK3CB	PIK3CB
JNJ 26854165	PIK3CB	PIK3CB
CG-930	PIK3CB_PIK3CD	PIK3CB
JNJ 26854165	PIK3CB_PIK3CD	PIK3CB
A66	PIK3CB_PIK3CD	PIK3CD
Dinaciclib	PIM1	PIM1
CGC-11144	SN38	TOP1
Docetaxel	SN38	TOP2A
Doxorubicin	SN38	TOP2A
Epirubicin	SN38	TOP2A
Ibandronate	SN38	TOP2A
Temsirolimus	SN38	TOP1
WH-4-025	SYK	SYK
PF04217903	SYK	SYK
HG-5-113-01	TKI	EGFR
AZ-628	TKI	EGFR
WZ3105	TKI	EGFR
ZM-447439	TKI	EGFR
Erlotinib	TKI	EGFR
SU11274	TKI	EGFR
AZD 5438	TKI	EGFR
GSK2334470	TKI	EGFR
Dacomitinib	TKI	EGFR
AG1478	TKI	EGFR
HG-9-91-01	TKI	EGFR
KW2449	TKI_2	TIE2
Docetaxel	TOP2	TOP2A
Doxorubicin	TOP2	TOP2A
Epirubicin	TOP2	TOP2A
Ibandronate	TOP2	TOP2A
Docetaxel	TOP2_2	TOP2A
Doxorubicin	TOP2_2	TOP2A
Epirubicin	TOP2_2	TOP2A
Ibandronate	TOP2_2	TOP2A
CGC-11144	Topotecan	TOP1
Temsirolimus	Topotecan	TOP1
BIBF-1120	WEE1	WEE1
