source	CELLLINES_Basal	CELLLINES_Basal_Rank	CELLLINES_Claudin-low	CELLLINES_Claudin-low_Rank	CELLLINES_ERBB2AMP	CELLLINES_ERBB2AMP_Rank	CELLLINES_Luminal	CELLLINES_Luminal_Rank	TCGA_Basal	TCGA_Basal_Rank	TCGA_ERBB2AMP	TCGA_ERBB2AMP_Rank	TCGA_Luminal	TCGA_Luminal_Rank	BOTH_Basal	BOTH_Luminal	BOTH_ERBB2
PARP2	-0.998476517	1818	-0.119346047	1327	0.627863523	208	0.075245306	1278	-1.790235533	1987	3.790411829	19	-0.314298798	1161	1902.5	1219.5	113.5
GTF3C4	1.705524295	263	0.827461505	538	0.76682632	124	0.846526249	637	-2.429222839	2126	2.843794086	104	-2.613436413	1999	1194.5	1318	114
MBTPS2	-4.301032608	2460	0.445820475	813	0.87384323	94	0.770548306	703	-1.186933919	1808	2.643444707	141	-1.156289596	1509	2134	1106	117.5
HNRNPC	0.197521443	1094	-0.629590069	1781	0.852501087	99	-0.314532227	1610	-3.195059726	2257	2.64986311	139	0.334209379	924	1675.5	1267	119
MPG glycosylase:3-methyladenine complex (complex);MPG glycosylase:ethenoadenine complex (complex);MPG glycosylase:hypoxanthine complex (complex);UniProt:P29372 MPG;MBD4 glycosylase:thymine complex (complex);MBD4 glycosylase:uracil complex (complex);UniProt:O95243-1 MBD4	-0.529946983	1561	-0.318715481	1512	0.755536119	130	-0.361934561	1650	-0.601803449	1625	2.766530537	112	-0.602580083	1288	1593	1469	121
APEX1;DNA containing an MBD4-bound apurinic/apyrimidinic site (complex);DNA containing an MPG-bound apurinic/apyrimidinic site (complex)	-0.038176749	1267	-0.432339879	1618	0.858413324	97	-0.429222568	1705	-1.030271338	1769	2.574527623	150	-0.425611157	1212	1518	1458.5	123.5
STXBP1	0.979472586	608	0.574662565	709	0.958314744	70	0.964472917	560	-2.723313136	2195	2.462094049	178	-1.731135017	1723	1401.5	1141.5	124
UCP2	-2.581334205	2318	-1.751296753	2295	0.900421193	86	1.359713513	349	-2.958492893	2230	2.532802202	163	-0.066961419	1089	2274	719	124.5
NDRG1	-0.286331798	1432	-2.965008739	2469	1.087790938	46	1.520154578	274	1.163721569	993	2.323533206	203	-2.224797139	1889	1212.5	1081.5	124.5
ACSS2;HIST2H4A;HIV-1 Tat/SIRT1 (complex);SIRT1;SIRT1/p300 (complex)	-0.074065164	1287	-0.480971412	1663	0.761500232	128	1.12393741	472	1.319798091	936	2.613335212	146	-3.628015652	2263	1111.5	1367.5	137
MAP3K7IP1;Nemo like kinase	0.157994804	1124	-0.990572598	2013	0.604990015	218	-0.373375936	1662	2.083996383	665	3.253021128	57	-3.370526099	2207	894.5	1934.5	137.5
TDG;TDG glycosylase:ethenocytosine complex (complex);TDG glycosylase:thymine complex (complex);TDG glycosylase:uracil complex (complex)	-3.650380773	2426	-2.316490367	2411	0.920584484	80	1.326518644	356	-0.138380985	1470	2.343890719	201	-0.75342787	1333	1948	844.5	140.5
PTPRK	1.395578976	384	-1.109091764	2073	0.746275991	138	-1.348886598	2205	1.618872637	814	2.478116351	176	-2.96560194	2103	599	2154	157
PREB	0.157822931	1125	-0.969139403	2002	1.106286039	44	0.953725849	564	1.64574865	805	2.022948574	275	-3.540917786	2240	965	1402	159.5
SPRED2	0.529422222	875	-0.306098495	1496	0.719880592	151	0.831425538	649	1.308082441	940	2.512546388	171	-3.633485514	2266	907.5	1457.5	161
MED6	-0.796468438	1711	-0.434425329	1620	0.873391038	95	0.641887702	792	-4.140297883	2365	2.2164429	228	0.075988301	1033	2038	912.5	161.5
DOCK7;ErbB2/ErbB3/neuregulin 1 beta (complex);mammary gland morphogenesis (abstract);heart morphogenesis (abstract);nervous system development (abstract)	-3.882284635	2444	-5.730893938	2512	0.558992477	242	1.568234984	258	-8.313098727	2495	3.009004425	86	3.636704279	136	2469.5	197	164
TINF2	-1.326090779	1975	-0.543098289	1721	0.960811349	68	1.407826424	323	-4.245993454	2375	2.082620982	260	1.039899921	678	2175	500.5	164
UBE2L3	0.724909834	742	0.082668584	1141	0.487196317	308	0.213107304	1169	1.518296201	852	3.705996308	26	-4.209011524	2373	797	1771	167
HIF2A/ARNT/SIRT1 (complex)	0.619315598	818	-0.456033382	1640	0.9314395	79	0.696096756	756	2.170882536	636	2.073778818	263	-4.076873314	2351	727	1553.5	171
TP53INP1	-0.91304178	1772	-5.306196704	2509	0.750651817	136	1.340208984	352	-0.429366015	1572	2.24058904	222	-0.874165744	1380	1672	866	179
HNF4A	-1.747540358	2140	-2.043658105	2355	0.753908965	133	1.241321539	406	-2.710889089	2194	2.20230111	231	0.093385965	1024	2167	715	182
RRM2B	-1.339407522	1982	-1.767001798	2300	0.806036443	110	-0.229179456	1552	-0.079151342	1449	2.095132664	257	-1.087574838	1477	1715.5	1514.5	183.5
NEDD8	-0.895834874	1766	0.222662314	998	0.663391944	177	1.492563078	289	-3.802865	2330	2.355199666	199	0.507623629	869	2048	579	188
RIPK2	0.234850934	1066	-0.674025514	1817	0.602742877	221	-0.239316618	1560	3.665509703	251	2.543419827	157	-3.840410772	2304	658.5	1932	189
CDH1;alpha E beta 7:E-cadherin complex (complex)	-0.014586406	1252	-1.269553978	2145	1.02418669	57	-0.138920428	1477	-0.978224998	1756	1.848021975	341	-1.177865654	1522	1504	1499.5	199
NLRC4	0.36954862	985	-1.849773253	2326	1.307748929	25	0.340384571	1059	2.21858135	616	1.758986586	379	-3.351258138	2204	800.5	1631.5	202
HIF1A/p14ARF (complex)	-1.526635275	2062	0.931307346	472	0.515327428	284	1.125858901	471	-1.518754328	1921	2.71875257	121	-1.372944374	1601	1991.5	1036	202.5
GH1	-1.482079836	2046	-0.060037036	1262	0.636491636	202	0.45518986	963	-0.033283212	1431	2.306278295	208	-1.258640647	1558	1738.5	1260.5	205
MED15	1.270397659	455	0.093200191	1132	0.417663347	367	-0.100191642	1446	1.807929708	750	3.330155047	51	-4.37959203	2400	602.5	1923	209
DNA containing a TDG-bound apurinic/apyrimidinic site (complex)	-8.305480109	2511	-3.761732851	2493	0.609553011	215	0.899906876	596	0.298616142	1321	2.27884515	213	-1.153970466	1505	1916	1050.5	214
RIP/MEKK3 (complex)	-3.141806021	2387	-0.193680234	1398	0.420965799	364	0.293620584	1093	-1.134409211	1796	3.093984763	77	0.163937541	988	2091.5	1040.5	220.5
ZFP36L1	-0.40130457	1491	-1.633904696	2266	0.617370315	212	1.771196726	188	-3.997457698	2353	2.187063746	237	2.073517306	375	1922	281.5	224.5
LIMA1	-2.953171425	2369	-2.086733787	2363	0.664064325	174	1.094245079	496	-6.068007673	2456	2.018082748	276	3.649349487	132	2412.5	314	225
GNAS;mPR/G-alpha-S/G-beta/G-gamma/G-alpha-I (complex);progesterone/mPR/G-beta/G-gamma/G-alpha-I (complex)	-3.084765437	2380	-0.283671935	1481	0.663571755	176	1.580617447	249	-1.057788614	1777	2.023728992	274	-1.166105619	1519	2078.5	884	225
KRT18	-4.479616367	2466	-5.578528844	2511	1.151815918	40	2.49180688	62	-7.31746589	2484	1.684815603	412	4.436833103	76	2475	69	226
STRAP/PRMT5 (complex)	-0.124683495	1321	-0.161355562	1370	0.7289376	144	0.378596533	1020	-0.880765341	1731	1.928133597	309	-0.845273548	1368	1526	1194	226.5
SIRT1/Histone H1b (complex)	-0.574150319	1589	0.663406988	643	0.403833527	386	0.146707135	1227	1.757324923	771	3.168584217	68	-4.064610511	2347	1180	1787	227
DYRK2;TTC5	-0.631240575	1621	-1.289061804	2155	0.39356912	402	2.481488697	63	2.21502935	617	3.253875062	56	-4.02961567	2339	1119	1201	229
MIR34A	-0.51012586	1550	-2.936164366	2467	0.895462812	87	1.988349165	142	-1.742463901	1978	1.754090469	380	0.495772728	873	1764	507.5	233.5
RIPK1	-1.087537255	1861	0.116877488	1117	0.466916073	324	0.352159473	1046	0.188550445	1364	2.619267656	145	-1.261688297	1559	1612.5	1302.5	234.5
NFATC2	0.405075447	966	-1.677011861	2274	0.390595145	406	-1.53114976	2276	-0.507697067	1597	3.17785392	67	-1.151169773	1504	1281.5	1890	236.5
DDX5	-1.118067085	1878	-0.301517152	1492	1.059986428	51	0.985325011	543	-2.613885827	2171	1.640334476	425	0.479868673	880	2024.5	711.5	238
BMAL/CLOCK/NPAS2 (complex)	0.167186724	1118	-0.616546712	1769	0.401849076	390	1.155099407	451	-1.13291073	1794	2.970930213	91	-1.88484272	1778	1456	1114.5	240.5
HIF1A/ARNT (complex)	0.050600461	1198	0.776506999	567	0.78735561	116	-0.962907665	2042	4.534351334	127	1.784398389	366	-4.261943756	2385	662.5	2213.5	241
GCKR	0.962505215	616	-1.518148895	2233	0.654713696	187	0.7400942	728	2.419914425	539	1.956888547	296	-3.892711209	2311	577.5	1519.5	241.5
ARC coactivator complex (complex);DRIP coactivator complex (complex);TRAP coactivator complex (complex)	-0.254754134	1405	0.50784082	772	0.694062868	159	-0.398885036	1687	-2.891738694	2218	1.883336954	327	0.831673376	745	1811.5	1216	243
PRKDC;PRKDC (cleaved)_0-0	-0.217567533	1383	-1.511773722	2230	0.532417	268	0.412500098	994	2.473575465	525	2.244600981	219	-3.009862677	2115	954	1554.5	243.5
SLC25A18	1.286990466	442	-2.01839562	2351	0.739020828	140	0.396022434	1006	1.183684493	983	1.81421504	353	-2.918137929	2094	712.5	1550	246.5
CSTF1	-1.250030107	1943	-0.374797849	1555	1.214286106	29	0.187815666	1193	-2.451166758	2133	1.529185489	466	0.1450884	997	2038	1095	247.5
G-protein alpha (z):GDP (complex);GNAZ	0.756560333	724	-0.39415718	1579	0.487736189	307	0.579171716	853	0.872832784	1114	2.414261985	189	-3.12375383	2140	919	1496.5	248
HMGCS2	-0.959050388	1795	0.55367551	731	0.959428461	69	2.200836656	106	-0.743155153	1678	1.57607138	450	-1.690534779	1710	1736.5	908	259.5
BRCA1/BACH1 (complex)	0.889353567	656	1.286623987	311	0.497040634	298	-1.486713619	2257	4.187506658	161	2.227664529	224	-5.177248623	2460	408.5	2358.5	261
NFATC4	-1.339738341	1984	0.228967215	987	0.436252649	352	1.631804537	230	-6.539640724	2470	2.499900097	173	0.557195663	842	2227	536	262.5
HSPA1B	0.42161205	958	1.159613015	353	0.785834725	117	0.578947038	854	1.864640826	726	1.687917878	411	-2.854250081	2079	842	1466.5	264
EP300	0.954783113	619	-0.917769278	1970	0.315721528	496	-0.076110637	1424	1.081569623	1020	3.600035224	32	-2.97968079	2107	819.5	1765.5	264
ST13	0.253907888	1057	-0.172978219	1378	0.345013395	464	0.262985772	1121	1.40883757	902	3.166083566	69	-3.284568051	2189	979.5	1655	266.5
TTF-I:Sal Box (complex);TTF1	2.613731909	75	0.570673538	712	0.448111032	342	-0.066839092	1414	-2.681560968	2190	2.396530848	192	-1.783883509	1740	1132.5	1577	267
MED27	3.153331623	38	1.420726551	252	0.338832869	467	0.145702262	1230	-1.435295934	1894	3.117785904	73	-3.497935099	2233	966	1731.5	270
SESN1	0.22329812	1074	-2.083194005	2362	1.07407495	49	0.644262506	790	0.448572285	1274	1.455436548	502	-1.786744374	1744	1174	1267	275.5
TMPRSS2	0.20566887	1085	-2.332022993	2415	0.392939196	403	-0.485616573	1749	1.559216812	837	2.570896196	151	-1.129175157	1492	961	1620.5	277
DNMT3A	-0.344846271	1464	-1.217852614	2121	0.661769638	180	1.011465369	530	3.139278082	357	1.764097257	375	-3.771215841	2289	910.5	1409.5	277.5
E2F2;E2F1/DP/PCAF (complex);CHEK2;CHEK1;ATM;DNA damage response signal transduction by p53 class mediator resulting in induction of apoptosis (abstract);TAO family-active;E2F1/DP (complex);carboxylesterase;SULT2A1;RBL1;MAD2;DNA replication termination (abstract);XRCC1	0.568525026	846	-0.197367316	1401	0.332636019	474	0.740994747	727	4.095574413	174	2.975191773	89	-5.496046612	2479	510	1603	281.5
RIP (cleaved)	-1.241888932	1941	-0.125860868	1336	0.31730592	494	0.487173577	935	0.889784401	1105	3.090738222	79	-1.505504946	1639	1523	1287	286.5
NFAT1-c-4/YWHAQ (complex);YWHAQ	2.021118705	169	1.008167007	427	0.94350391	74	-0.106781548	1449	1.176807726	989	1.451937545	505	-4.084695858	2352	579	1900.5	289.5
PLCB3	-3.568637857	2418	-0.576180062	1740	0.558914796	243	0.461187245	960	-1.379208519	1877	1.858487187	338	0.217910438	970	2147.5	965	290.5
ACP1	1.324865265	422	0.458246863	805	0.571818927	235	0.591676773	835	-0.540408866	1612	1.812613999	355	-2.465294817	1962	1017	1398.5	295
PTGES2	0.430229153	953	-0.309895666	1500	0.260726765	569	0.220179883	1164	-0.246661146	1508	3.757186362	22	-2.462548929	1960	1230.5	1562	295.5
MED1;NR-MED1 Coactivator Complex (complex);RXRs/FXR/9cRA/MED1 (complex)	-1.137254144	1893	-0.662700839	1814	0.528404277	271	-1.175067212	2143	-2.640833108	2179	1.892779462	322	1.487674114	533	2036	1338	296.5
DGKA;Cytokine;GRG4;NFAT1 (cleaved);IKZF1;SLC3A2	0.84882681	664	-1.35172061	2175	0.346207041	463	-1.94042356	2367	-0.396652699	1558	2.681095538	130	-1.542775152	1652	1111	2009.5	296.5
MAP3K3	-3.453473535	2408	0.096247175	1130	1.078628723	47	1.207603093	419	-2.572733301	2163	1.35711686	548	0.786067191	757	2285.5	588	297.5
MAL	1.290416134	438	1.04834925	413	0.646094838	196	1.578331109	253	3.044393119	385	1.706297261	400	-6.523252302	2508	411.5	1380.5	298
IRF1	1.68208238	272	1.630304852	191	0.254538878	576	-1.476777619	2252	1.49532185	866	3.777893298	20	-3.731096332	2280	569	2266	298
GTF3C5	2.666033704	67	-0.244531108	1439	0.363883634	442	0.255966385	1128	-0.259312206	1513	2.547591479	155	-3.094752148	2127	790	1627.5	298.5
P2RY2;P2Y2 receptor:ATP (complex)	-0.485487153	1535	-1.925353278	2337	0.917666053	81	0.784406479	691	-0.353949399	1545	1.403923301	529	-1.06684713	1467	1540	1079	305
NCOA3	-1.619418469	2101	-2.934379829	2466	1.173649783	35	2.195224213	108	-4.539063196	2394	1.30227598	576	1.593456986	511	2247.5	309.5	305.5
CBY1	0.168235397	1117	-0.116313519	1323	0.366283217	437	-0.171437851	1505	2.288738429	594	2.498600909	174	-3.832141699	2302	855.5	1903.5	305.5
HIF1A;VHL/E2/HIF-1-alpha/ubiquitin (complex);VHL/Elongin B/Elongin C/RBX1/CUL2/HIF1A (complex)	-1.300809083	1965	1.429185505	248	0.274785279	553	0.510082161	916	0.83891806	1132	3.229458881	59	-2.691205751	2029	1548.5	1472.5	306
IRF4	-2.133178892	2242	-0.400354949	1588	0.24928127	581	0.636796345	796	3.788529855	222	3.580169292	36	-5.609655574	2488	1232	1642	308.5
PTGER4;Prostaglandin E2/EP4R (complex)	1.353223363	409	1.732194155	168	0.958084323	71	0.021522265	1336	-1.033717068	1770	1.360612172	547	-2.14429038	1860	1089.5	1598	309
eNOS	-1.274426972	1956	-0.157773059	1366	0.714980259	152	2.186860981	109	-2.221618996	2083	1.517961349	473	-2.03941714	1821	2019.5	965	312.5
MSH:Melanocortin receptor (complex);POMC	-0.258587332	1409	-1.701183163	2283	0.800784383	112	0.665959305	775	6.806796647	28	1.406441885	526	-4.445010245	2409	718.5	1592	319
ADORA2A;Adenosine:Adenosine A2a receptor (complex)	0.624978475	813	0.663818521	641	0.304870043	508	-0.368221446	1655	1.833782648	740	2.669906534	133	-3.327678819	2199	776.5	1927	320.5
WNT7B	1.307143635	431	-1.581270687	2253	0.212024121	639	0.169027361	1208	-0.454010539	1581	4.682147811	3	-2.293069162	1911	1006	1559.5	321
DP1 receptor:PGD2 (complex);PTGDR	-1.734795747	2136	0.443118312	817	0.399809716	391	2.565544191	55	-3.687108713	2318	2.107772354	255	-0.85015194	1372	2227	713.5	323
CCNK	0.029955427	1213	-0.840081356	1918	0.29337651	524	1.58349025	245	0.352344711	1305	2.656865288	135	-2.892598015	2085	1259	1165	329.5
HMGCS1;lipid biosynthetic process (abstract)	-1.345971117	1991	-0.470465925	1654	0.308258205	504	0.189996617	1191	-1.320783609	1856	2.54181479	158	-0.382822119	1189	1923.5	1190	331
IL2RB	-0.107485242	1306	-1.046959687	2044	0.220562263	626	0.028694064	1328	2.856641769	431	3.568470233	39	-4.325995776	2393	868.5	1860.5	332.5
PATZ1	-0.012074318	1249	-0.589725671	1753	0.30981267	501	0.78505877	690	-1.361038959	1872	2.52562393	165	-1.206887621	1538	1560.5	1114	333
DAAM1	-1.096703655	1868	-0.703633345	1837	1.02621074	56	2.459182101	68	-7.981308891	2492	1.239131112	611	1.058767459	672	2180	370	333.5
RIMS1	-0.208632893	1377	-0.112969446	1317	0.380085815	417	0.620452487	810	-0.114208485	1463	2.120959217	252	-1.550221368	1655	1420	1232.5	334.5
KPNA2	-1.201281797	1924	0.120028202	1114	0.465224748	326	-0.581889816	1812	0.690648216	1184	1.827501378	349	-1.187812201	1528	1554	1670	337.5
SNRPD3	0.651547346	800	0.277789853	943	0.201906348	660	-0.454127081	1723	1.552841736	840	3.881520081	18	-3.7859365	2295	820	2009	339
PTGES3	-2.4438819	2293	-2.407124359	2419	0.435913916	354	1.571883402	257	-4.299472333	2378	1.878851616	328	2.943993829	222	2335.5	239.5	341
PSMA3	-0.738338474	1672	0.508459419	770	0.301389216	513	1.595446806	241	-5.713486412	2442	2.51343484	170	0.480349999	879	2057	560	341.5
HIF-1-alpha/ARNT/CREB/p300/JAB1/c-JUN (complex)	-1.569715352	2080	-0.597234123	1760	0.244019677	588	0.269772703	1116	1.979398209	692	2.861473765	101	-2.671899459	2018	1386	1567	344.5
WNT7B/FZD1/LRP5 (complex)	0.454647468	936	-0.805116027	1898	0.243248349	589	2.348606888	85	1.768282263	768	2.850854431	103	-4.165371147	2366	852	1225.5	346
E2/ER beta (dimer) (complex);ESR2	-0.893534912	1764	-0.280963972	1477	0.567847398	237	2.563677323	56	-3.215426233	2263	1.56350534	457	-1.143013952	1501	2013.5	778.5	347
CTNND1;FGFR1-FGF complex (complex)	-0.292840467	1437	-0.020272962	1227	0.604546191	220	-0.45834574	1727	0.019803519	1420	1.507796999	477	-1.15407992	1506	1428.5	1616.5	348.5
EPO;EPO/EPO R/EPO R/JAK2/JAK2 (complex)	-3.833127251	2442	-2.231849137	2394	0.748503824	137	0.769962412	704	1.493128023	870	1.315354335	570	-2.422075345	1948	1656	1326	353.5
EWSR1	0.352081522	990	0.320849281	907	0.205960969	653	-0.794180964	1951	0.781950737	1150	3.26631597	55	-2.552881241	1986	1070	1968.5	354
TXNDC5	1.602983912	300	0.487267822	792	0.440202797	349	-1.634315627	2301	4.690997338	104	1.789871487	363	-4.240851208	2379	202	2340	356
WNT1	-3.625251334	2424	-2.157695874	2380	0.471758661	318	1.758261076	192	-1.511326456	1915	1.707084781	398	1.538008427	524	2169.5	358	358
CEBPB;NF-IL-6/NF-IL-6 (complex)	0.195501562	1095	-1.474263186	2216	0.405848771	381	-0.345676459	1632	2.420144736	538	1.835634759	345	-2.219814803	1887	816.5	1759.5	363
BMAL1/CLOCK (complex)	0.016016265	1224	-0.856101645	1930	0.22660764	616	0.611007461	817	-2.431494915	2128	2.743965762	115	-0.644219656	1297	1676	1057	365.5
NTHL1;hNTH1 glycosylase: foramidopyrimidine complex (complex);hNTH1 glycosylase:cytosine glycol complex (complex);hNTH1 glycosylase:dihydrouracil complex (complex);hNTH1 glycosylase:thymine glycol (complex)	-3.651263414	2427	-1.30696257	2164	0.261349038	568	-0.287327611	1589	-3.389246282	2282	2.525431687	166	3.732922337	123	2354.5	856	367
VEGF;VEGF/VEGF R (complex)	-1.526722592	2063	1.034239669	419	0.305048568	507	-1.383716058	2219	1.006863461	1047	2.199827325	232	-1.634113636	1684	1555	1951.5	369.5
S100A2;SH2D1A;PTGFB;TRAILR4	-0.021290731	1255	-1.767882496	2301	0.662170087	178	0.26842291	1117	1.291801491	944	1.323134762	566	-1.996156268	1811	1099.5	1464	372
Ephrin B1/EPHB3 (complex)	1.171602053	512	-1.420725614	2196	0.438497008	350	1.940750737	154	1.352652556	923	1.720116449	395	-3.504825019	2234	717.5	1194	372.5
TIMELESS	-0.996467603	1816	-1.193718819	2111	0.218475208	628	1.278555628	384	-1.497968464	1912	2.717411788	122	-0.876522369	1381	1864	882.5	375
WNT7B/FZD10/LRP5 (complex)	-0.114680101	1312	-1.792038136	2311	0.256864536	573	2.393929796	79	-0.51304222	1600	2.459615168	179	-1.4900307	1635	1456	857	376
APOBEC3G;APOBEC3G:Vif:Cul5:SCF complex (complex);Vif:APOBEC3G complex (complex);multi-ubiquitinated APOBEC3G:Vif:Cul5:SCF complex (complex);Vif:Cul5:SCF complex (complex)	0.282394735	1031	-1.314889113	2167	0.174286598	705	0.355591859	1040	2.198331778	627	3.343580823	50	-2.95505566	2099	829	1569.5	377.5
SNRPE	-2.607522546	2327	-0.583816156	1746	0.151512395	740	-0.693919585	1884	0.623123515	1212	4.02743266	15	-0.892626094	1388	1769.5	1636	377.5
ERBB3;neuregulin/ErbB3 (complex)	-4.884312062	2478	-3.448895678	2480	0.589827102	226	3.603295736	13	-4.769176864	2406	1.380525008	535	3.434807195	151	2442	82	380.5
ATF2/TIP49B (complex)	0.557023103	855	0.6119154	681	0.462101735	331	-1.525101982	2274	-0.15018751	1474	1.626966014	431	-1.556412822	1657	1164.5	1965.5	381
UBE2D1	0.810738299	684	0.905282311	485	0.226841287	615	1.117291425	477	2.319173715	582	2.584149418	148	-5.459803623	2477	633	1477	381.5
LGMN	0.676945127	783	0.513385943	765	0.29735824	519	1.554518346	265	-1.866778462	2005	2.151933332	246	-1.32380108	1582	1394	923.5	382.5
TRAIL/TRAILR1/FADD/TRADD/RIP (complex);TRAIL/TRAILR2/FADD/TRADD/RIP (complex)	-0.674132742	1639	0.064841467	1155	0.454002291	334	1.305596549	367	1.044695824	1031	1.62429166	432	-2.514963706	1978	1335	1172.5	383
DNAL4	0.029904865	1214	-1.411705775	2192	0.202827229	658	0.21049129	1174	1.563250121	833	2.766040971	113	-2.581000876	1989	1023.5	1581.5	385.5
FAIM2	-4.778683764	2472	-3.428595438	2479	1.126597115	43	2.562212029	58	-4.199019628	2371	1.018724768	737	2.439195696	307	2421.5	182.5	390
ALDOB	0.737803377	732	-0.23835488	1433	0.273549422	555	0.351179907	1047	-0.28946522	1522	2.224341692	227	-1.955818317	1797	1127	1422	391
U2AF1	2.001223519	176	0.168929961	1062	0.562131484	239	0.561328788	871	1.704244247	784	1.340899618	553	-3.045291222	2123	480	1497	396
mTORC1/PGC1A/YY1 (complex)	0.275866406	1039	0.941403869	464	0.381027167	415	-1.094452835	2102	1.915704586	712	1.749075983	382	-2.927943841	2096	875.5	2099	398.5
CYP2J2	1.39591358	383	-0.853193797	1928	0.761728544	127	-0.661303358	1864	2.36917791	563	1.12470625	671	-3.524239638	2236	473	2050	399
BACH1	0.015462018	1225	1.759283152	164	0.311892693	498	-1.589027938	2287	1.47395952	877	1.947632939	301	-2.352331466	1926	1051	2106.5	399.5
RANGAP1	1.173486516	510	-0.454795615	1639	0.11963009	794	-0.236109193	1558	1.901827538	717	4.557741075	6	-4.243859737	2380	613.5	1969	400
NUP214	2.58098946	79	1.765626015	162	0.188439418	681	0.516302801	907	-2.216957951	2079	2.720691401	120	-2.67265803	2019	1079	1463	400.5
SPDEF	-1.898696217	2184	-1.655567338	2272	0.89149164	89	2.691667548	47	-2.935277801	2223	1.044578954	716	-0.799043224	1348	2203.5	697.5	402.5
ErbB4/ErbB2/betacellulin (complex);ErbB4/ErbB2/epiregulin (complex)	-1.781039913	2150	-2.464212365	2426	0.73511588	141	1.486407503	293	-6.229835292	2460	1.137247548	665	1.686239363	482	2305	387.5	403
BCL-XL/BCL-2/BIK (complex);BIK	-0.130231931	1325	-1.104289013	2069	0.109983615	809	0.548812086	880	-0.494236928	1591	5.053807044	1	-2.789220852	2060	1458	1470	405
TFAP2A	-0.437772655	1508	-1.517558048	2232	0.399416393	392	0.582740632	843	0.97492774	1059	1.670769279	420	-0.905794159	1393	1283.5	1118	406
KLF4;Preproghrelin and prepro-des-Gln14-ghrelin	1.827339784	225	0.213414529	1012	0.354099656	453	0.61031586	819	-2.271549375	2097	1.791100962	362	-1.359901313	1598	1161	1208.5	407.5
