CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
HCC1500,AKT,MAP2K,1,1,0.191871163,1.3614648,36.24448606,0.240678688,3.0103797,64.10860371,NA,1,AKT.MAP2K
MCF7,AKT,MAP2K,1,1,0.071948987,1.3663893,84.52106196,0.324054505,10,74.69967224,NA,1,AKT.MAP2K
MDA-MB-361,AKT,MAP2K,1,1,0.004636069,0.5378561,83.2985282,0.192656632,1.7497579,29.18107311,NA,1,AKT.MAP2K
T47D,AKT,MAP2K,1,1,1e-04,0.1,64.8320272,0.123055914,4.8999723,39.67470166,NA,1,AKT.MAP2K
UACC-812,AKT,MAP2K,1,1,0.014386843,3.3570365,7.20410631,1,0,100,NA,1,AKT.MAP2K
BT-474,AKT,MET,1,1,1,0,100,0.167731464,2.0989709,15.27546926,NA,1,AKT.MET
HCC1419,AKT,MET,1,1,1,0,100,0.187299193,0.969732,38.68946421,NA,1,AKT.MET
HCC1500,AKT,MET,1,1,0.298726474,10,90.59994311,1,1.0353969,40.59128579,NA,1,AKT.MET
MCF7,AKT,MET,1,1,0.185842314,1.2804168,92.98964415,0.341247977,10,57.89909549,NA,1,AKT.MET
MDA-MB-361,AKT,MET,1,1,1,0.2262929,81.37813148,0.279048754,1.2181737,16.76084205,NA,1,AKT.MET
T47D,AKT,MET,1,1,1,0,100,0.114220576,3.3461949,40.96006387,NA,1,AKT.MET
HCC1500,AKT,MET_2,1,1,0.12188906,3.8115334,1.01227871,0.723592176,1.5062585,43.50815965,NA,1,AKT.MET_2
MDA-MB-361,AKT,MET_2,1,1,0.297773978,10,24.79952692,0.272284117,1.8536459,28.03702753,NA,1,AKT.MET_2
T47D,AKT,MET_2,1,1,0.281735036,10,56.59985126,0.106032305,10,39.59912947,NA,1,AKT.MET_2
647-V,AKT,MTOR_1,1,3,0.624343463,0.9838047,0,0.616080998,1.5858984,2.61616391,NA,1,AKT.MTOR_1
BFTC-905,AKT,MTOR_1,3,3,0.200862319,1.4132765,25.17487246,0.334490235,10,48.79955093,NA,1,AKT.MTOR_1
HT-1197,AKT,MTOR_1,3,1,1.594600942,0.7605626,12.38918098,0.197044287,1.6938535,61.33457255,NA,1,AKT.MTOR_1
HT-1376,AKT,MTOR_1,3,3,0.586452574,1.217276,30.27959581,0.242954953,1.2307204,37.31699426,NA,1,AKT.MTOR_1
J82,AKT,MTOR_1,3,3,0.895707471,0.7088427,0,1.054430734,0.8145012,19.69297211,NA,1,AKT.MTOR_1
SW780,AKT,MTOR_1,3,3,0.343338756,1.557019,24.17186063,0.303951908,1.3465083,21.65806057,NA,1,AKT.MTOR_1
T-24,AKT,MTOR_1,3,3,0.973097576,10,18.09893601,1,0,100,NA,1,AKT.MTOR_1
TCCSUP,AKT,MTOR_1,1,3,0.773041734,0.7312953,0,0.378567382,0.5999056,49.51670031,NA,1,AKT.MTOR_1
UM-UC-3,AKT,MTOR_1,1,3,1,1.7967085,25.87804217,3,1.6726942,47.09935265,NA,1,AKT.MTOR_1
VM-CUB-1,AKT,MTOR_1,1,3,0.579726731,1.0071209,0,0.201326167,1.5913883,64.21397511,NA,1,AKT.MTOR_1
BT-474,AKT,MTOR_2,1,1,1e-04,0.1,7.9192686,0.166354413,2.2713225,11.86827293,NA,1,AKT.MTOR_2
CAMA-1,AKT,MTOR_2,1,1,1e-04,0.1,23.83555243,0.136792289,2.2801787,40.88146922,NA,1,AKT.MTOR_2
HCC1419,AKT,MTOR_2,1,1,0.007294796,3.2196973,50.8198546,0.273271965,10,50.39939198,NA,1,AKT.MTOR_2
HCC1500,AKT,MTOR_2,1,1,1e-04,0.4017491,8.00413264,0.31840852,10,63.69960913,NA,1,AKT.MTOR_2
MCF7,AKT,MTOR_2,1,1,1e-04,0.1149149,0,1,2.3451592,34.05671414,NA,1,AKT.MTOR_2
MDA-MB-175-VII,AKT,MTOR_2,1,1,0.008931996,1.9691905,65.30794731,0.289280322,10,46.09971925,NA,1,AKT.MTOR_2
MDA-MB-361,AKT,MTOR_2,1,1,0.069817939,0.1,37.25995032,0.220946279,3.1710217,37.08873009,NA,1,AKT.MTOR_2
T47D,AKT,MTOR_2,1,1,1e-04,0.1042233,0,0.10686776,10,43.19918856,NA,1,AKT.MTOR_2
UACC-812,AKT,MTOR_2,1,1,1,0,100,1,0.223576,85.3556899,NA,1,AKT.MTOR_2
BT-474,AKT,MTOR_4,1,1,1,10,82.80019584,0.170426827,2.7565873,17.22845243,NA,1,AKT.MTOR_4
CAMA-1,AKT,MTOR_4,1,1,0.008152439,1.5901908,88.17457172,0.320727,0.7050292,0,NA,1,AKT.MTOR_4
HCC1500,AKT,MTOR_4,1,1,1,0.7100338,43.18574894,0.352104839,2.6465384,69.48340708,NA,1,AKT.MTOR_4
MCF7,AKT,MTOR_4,1,1,1,1.3891725,49.4320703,1,1.4111388,35.74623916,NA,1,AKT.MTOR_4
MDA-MB-361,AKT,MTOR_4,1,1,0.281027873,4.9093217,65.83287929,0.217647678,2.2765801,31.97276911,NA,1,AKT.MTOR_4
T47D,AKT,MTOR_4,1,1,1,0.8874,26.9134137,0.116623944,1.5366345,32.18091064,NA,1,AKT.MTOR_4
647-V,AKT,PARP1,3,3,3,0.9069337,68.39608924,0.620494705,1.5009512,2.49311494,NA,1,AKT.PARP1
BFTC-905,AKT,PARP1,3,3,3,0.6919602,39.81844141,0.185179515,1.3706454,41.56142848,NA,1,AKT.PARP1
HT-1197,AKT,PARP1,3,1,0.150482119,1.1554488,56.01524622,0.047676158,1.279506,53.25727394,NA,1,AKT.PARP1
HT-1376,AKT,PARP1,3,3,3,0.4394963,56.25879617,0.078402685,0.6680948,25.29940701,NA,1,AKT.PARP1
J82,AKT,PARP1,3,3,3,0.5968218,61.00540201,0.893609732,0.7738458,17.0796063,NA,1,AKT.PARP1
SW780,AKT,PARP1,3,3,3,10,91.20021677,0.341119802,1.5444412,25.45446237,NA,1,AKT.PARP1
T-24,AKT,PARP1,3,3,3,4.4986778,1.20000492,1,0,100,NA,1,AKT.PARP1
TCCSUP,AKT,PARP1,3,3,3,1.700861,36.54494175,0.207740473,1.7293584,63.83893707,NA,1,AKT.PARP1
UM-UC-3,AKT,PARP1,3,3,3,0.6475107,68.47075452,1.107998896,10,80.29906919,NA,1,AKT.PARP1
VM-CUB-1,AKT,PARP1,3,3,3,1.3318273,87.41030222,1.037367437,1.9501924,26.08378386,NA,1,AKT.PARP1
BT-474,AKT,PRKC,1,1,1,0,100,0.165533437,1.6065715,9.76770909,NA,1,AKT.PRKC
HCC1419,AKT,PRKC,1,1,1,1.5690802,80.15433848,0.70007117,0.7089761,0,NA,1,AKT.PRKC
HCC1500,AKT,PRKC,1,1,0.969031292,3.4341968,0,0.326701561,10,64.19950257,NA,1,AKT.PRKC
MCF7,AKT,PRKC,1,1,1,10,91.40001658,0.351112973,4.7358318,67.06993914,NA,1,AKT.PRKC
MDA-MB-361,AKT,PRKC,1,1,0.115467992,0.509786,88.9844079,0.227124239,1.5072608,22.95370056,NA,1,AKT.PRKC
T47D,AKT,PRKC,1,1,1,0,100,0.097593684,2.311711,34.77568933,NA,1,AKT.PRKC
UACC-812,AKT,PRKC,1,1,1,0,100,0.011170455,1.4784863,91.92232721,NA,1,AKT.PRKC
COLO-205,AKT,WNT,3,3,3e-04,0.1,94.7173188,1.222736765,10,4.28789222,NA,1,AKT.WNT
NCI-H747,AKT,WNT,3,3,0.157321613,0.2789052,0,0.133753472,0.6078241,0,NA,1,AKT.WNT
HCT-116,AKT,WNT,3,3,1,0,100,2.470098365,10,0,NA,1,AKT.WNT
LS-513,AKT,WNT,3,3,3,0.5473265,35.18866865,3,0.2890993,64.16788382,NA,1,AKT.WNT
SW48,AKT,WNT,3,3,0.094567165,1.7119118,67.71600121,3,0.5847108,28.28039939,NA,1,AKT.WNT
SW948,AKT,WNT,3,1,3,0.2453239,73.70965783,0.018059068,10,82.7335504,NA,1,AKT.WNT
BT-20,AKT_1,MTOR_1,1,1,0.367416396,1.7108812,16.62416289,0.084313552,1.1994758,72.28544479,NA,1,AKT_1.MTOR_1
BT-549,AKT_1,MTOR_1,1,1,0.245458446,2.2155185,23.1897672,0.716794868,0.5946982,0,NA,1,AKT_1.MTOR_1
CAL-120,AKT_1,MTOR_1,1,1,0.276199242,10,42.49954174,0.302693647,10,84.29978259,NA,1,AKT_1.MTOR_1
CAL-148,AKT_1,MTOR_1,1,1,1,1.3259772,32.92830483,0.259392226,1.2489229,10.24185096,NA,1,AKT_1.MTOR_1
CAL-51,AKT_1,MTOR_1,1,1,0.253016506,1.3471197,6.27564514,1,1.4563012,43.55642142,NA,1,AKT_1.MTOR_1
CAMA-1,AKT_1,MTOR_1,1,1,0.430034111,1.6663066,4.44496347,0.44026611,1.5920306,8.82348187,NA,1,AKT_1.MTOR_1
DU-4475,AKT_1,MTOR_1,1,1,0.282265955,10,11.69965347,0.156480989,1.842749,9.27659979,NA,1,AKT_1.MTOR_1
HCC1143,AKT_1,MTOR_1,1,1,0.464487208,1.2549368,23.41365449,0.230804337,1.3008614,72.42933566,NA,1,AKT_1.MTOR_1
HCC1187,AKT_1,MTOR_1,1,1,0.271663837,10,11.99888312,0.079702112,1.1394265,52.64828804,NA,1,AKT_1.MTOR_1
HCC1395,AKT_1,MTOR_1,1,1,0.265811881,1.2728342,26.77587231,0.258262367,0.7687243,29.58998517,NA,1,AKT_1.MTOR_1
HCC1428,AKT_1,MTOR_1,1,1,0.321064152,10,48.89932862,0.053907199,10,89.23467976,NA,1,AKT_1.MTOR_1
HCC1806,AKT_1,MTOR_1,1,1,0.211136996,2.0943874,12.84505298,0.266814897,2.0879055,25.83870285,NA,1,AKT_1.MTOR_1
HCC1937,AKT_1,MTOR_1,1,1,1,0.858597,48.53977516,1,0.8541653,51.12816665,NA,1,AKT_1.MTOR_1
HCC38,AKT_1,MTOR_1,1,1,0.599198712,1.3345787,42.75225474,0.016236889,3.6586055,89.69982969,NA,1,AKT_1.MTOR_1
HCC70,AKT_1,MTOR_1,1,1,1,10,23.60002377,0.359967201,10,61.19857343,NA,1,AKT_1.MTOR_1
Hs-578-T,AKT_1,MTOR_1,1,1,0.197390731,0.8912513,2.45841943,1,0.4589994,3.70402501,NA,1,AKT_1.MTOR_1
MDA-MB-157,AKT_1,MTOR_1,1,1,0.413536993,0.7603338,15.40616584,1,0.3743536,43.45985435,NA,1,AKT_1.MTOR_1
MDA-MB-231,AKT_1,MTOR_1,1,1,0.24052422,2.4508596,47.30987577,0.180170792,1.688283,81.99458188,NA,1,AKT_1.MTOR_1
MDA-MB-436,AKT_1,MTOR_1,1,1,0.097721474,1.6264253,26.85319655,0.278650612,1.9327236,82.53427465,NA,1,AKT_1.MTOR_1
MDA-MB-453,AKT_1,MTOR_1,1,1,0.266057357,10,11.79784243,0.090426997,1.234342,6.785454,NA,1,AKT_1.MTOR_1
MDA-MB-468,AKT_1,MTOR_1,1,1,1,10,68.80004,0.317888408,10,67.69962824,NA,1,AKT_1.MTOR_1
MFM-223,AKT_1,MTOR_1,1,1,0.277305859,1.1123792,0,0.166523057,1.0619777,12.92109294,NA,1,AKT_1.MTOR_1
M14,AKT_1,MTOR_1,1,1,0.306286163,10,60.29958063,1,10,63.20005675,NA,1,AKT_1.MTOR_1
BT-20,AKT_1,AKT_SGK,1,1,0.281077678,0.8164866,56.39713183,0.235784782,1.0709804,67.11616981,NA,1,AKT_1.AKT_SGK
BT-549,AKT_1,AKT_SGK,1,1,0.386139015,0.6632602,16.81941007,1,0.524122,17.814255,NA,1,AKT_1.AKT_SGK
CAL-120,AKT_1,AKT_SGK,1,1,1,10,73.40006863,1,10,90.60013468,NA,1,AKT_1.AKT_SGK
CAL-148,AKT_1,AKT_SGK,1,1,0.133638848,1.3608142,0,0.236096047,1.8876276,20.39547617,NA,1,AKT_1.AKT_SGK
CAL-51,AKT_1,AKT_SGK,1,1,0.191782342,1.11371,19.9845976,1,1.4754966,55.26053761,NA,1,AKT_1.AKT_SGK
CAMA-1,AKT_1,AKT_SGK,1,1,0.114898416,1.7804175,10.26496886,0.439010358,2.4010916,23.61069797,NA,1,AKT_1.AKT_SGK
DU-4475,AKT_1,AKT_SGK,1,1,0.319854491,10,28.99912949,0.143757635,2.065487,32.67363361,NA,1,AKT_1.AKT_SGK
HCC1143,AKT_1,AKT_SGK,1,1,0.023057777,1.2713174,74.88117673,0.050361079,2.0370851,66.46264417,NA,1,AKT_1.AKT_SGK
HCC1187,AKT_1,AKT_SGK,1,1,0.278448757,1.8188949,45.31383531,0.127666064,2.2709945,51.15947979,NA,1,AKT_1.AKT_SGK
HCC1395,AKT_1,AKT_SGK,1,1,0.127497142,1.2406497,39.35608125,0.354875496,1.3159842,43.65985666,NA,1,AKT_1.AKT_SGK
HCC1428,AKT_1,AKT_SGK,1,1,0.184397084,1.1383902,89.15966361,0.486163171,1.5671882,85.04787045,NA,1,AKT_1.AKT_SGK
HCC1806,AKT_1,AKT_SGK,1,1,0.384384108,10,66.39763352,0.308756335,10,40.49952298,NA,1,AKT_1.AKT_SGK
HCC1937,AKT_1,AKT_SGK,1,1,0.392495035,0.7441117,59.215188,1,0.7044592,53.55322591,NA,1,AKT_1.AKT_SGK
HCC38,AKT_1,AKT_SGK,1,1,0.298517675,10,75.7997911,0.392932974,0.9151659,68.18578396,NA,1,AKT_1.AKT_SGK
HCC70,AKT_1,AKT_SGK,1,1,0.362755029,1.3175189,15.35274723,0.218662524,1.3345808,24.10259666,NA,1,AKT_1.AKT_SGK
MDA-MB-157,AKT_1,AKT_SGK,1,1,1,10,86.60001929,0.116192978,2.0412562,85.06286616,NA,1,AKT_1.AKT_SGK
MDA-MB-231,AKT_1,AKT_SGK,1,1,0.312259699,10,83.29983158,1,0.8007851,78.82276837,NA,1,AKT_1.AKT_SGK
MDA-MB-436,AKT_1,AKT_SGK,1,1,0.264751758,10,69.89840182,0.362259907,1.6417109,90.07639665,NA,1,AKT_1.AKT_SGK
MDA-MB-453,AKT_1,AKT_SGK,1,1,0.2048216,2.0112554,13.36867275,0.084825174,0.936816,1.77937522,NA,1,AKT_1.AKT_SGK
MDA-MB-468,AKT_1,AKT_SGK,1,1,0.352737419,3.6727513,65.66923645,0.306439464,10,79.1998182,NA,1,AKT_1.AKT_SGK
MFM-223,AKT_1,AKT_SGK,1,1,0.152752214,0.5559543,0,0.226413451,1.2211204,20.01512739,NA,1,AKT_1.AKT_SGK
M14,AKT_1,AKT_SGK,1,1,1,2.8574243,48.01894407,0.353843485,10,88.19963676,NA,1,AKT_1.AKT_SGK
BT-20,AKT_SGK,MTOR_1,1,1,0.519415121,1.3482678,0,1,0.8236779,31.55984751,NA,1,AKT_SGK.MTOR_1
BT-549,AKT_SGK,MTOR_1,1,1,0.435150193,1.0319501,6.20629581,0.323289994,0.9422914,39.75872711,NA,1,AKT_SGK.MTOR_1
CAL-120,AKT_SGK,MTOR_1,1,1,0.335826654,0.9216428,6.88693827,0.11809444,0.8839795,65.7422256,NA,1,AKT_SGK.MTOR_1
CAL-148,AKT_SGK,MTOR_1,1,1,0.386478081,10,76.89828185,0.105627792,1.249741,0,NA,1,AKT_SGK.MTOR_1
CAL-51,AKT_SGK,MTOR_1,1,1,0.27668232,1.4658301,16.46795332,0.123717492,1.3403149,30.87544562,NA,1,AKT_SGK.MTOR_1
CAMA-1,AKT_SGK,MTOR_1,1,1,0.322785619,9.9998366,30.09914159,0.113407286,1.5615458,9.78876795,NA,1,AKT_SGK.MTOR_1
DU-4475,AKT_SGK,MTOR_1,1,1,0.266608429,2.0394989,12.60304751,0.300320647,10,43.69962261,NA,1,AKT_SGK.MTOR_1
HCC1143,AKT_SGK,MTOR_1,1,1,0.752427073,1.3560225,0,0.008392325,0.2271784,40.17283779,NA,1,AKT_SGK.MTOR_1
HCC1187,AKT_SGK,MTOR_1,1,1,0.265257047,10,12.39958977,0.201323724,1.0103222,38.50716698,NA,1,AKT_SGK.MTOR_1
HCC1395,AKT_SGK,MTOR_1,1,1,0.604360663,0.8452391,0,0.421613265,0.6487179,0,NA,1,AKT_SGK.MTOR_1
HCC1428,AKT_SGK,MTOR_1,1,1,0.746266319,0.99933,0,1,0.11133,77.686667,NA,1,AKT_SGK.MTOR_1
HCC1806,AKT_SGK,MTOR_1,1,1,0.22276078,1.424791,6.71003092,1,1.3711659,13.08853275,NA,1,AKT_SGK.MTOR_1
HCC1937,AKT_SGK,MTOR_1,1,1,1,0.6773988,58.19797655,0.174922014,0.9186414,65.45238295,NA,1,AKT_SGK.MTOR_1
HCC38,AKT_SGK,MTOR_1,1,1,0.133517716,1.8898052,74.51322736,1,10,70.20001182,NA,1,AKT_SGK.MTOR_1
HCC70,AKT_SGK,MTOR_1,1,1,0.295254047,2.1786071,37.2437907,0.436828203,1.2388132,8.3337298,NA,1,AKT_SGK.MTOR_1
Hs-578-T,AKT_SGK,MTOR_1,1,1,0.290313681,10,29.29960783,0.2283074,4.011903,46.35791367,NA,1,AKT_SGK.MTOR_1
MDA-MB-157,AKT_SGK,MTOR_1,1,1,0.174282124,4.2552929,49.0973165,1,0.5532049,42.15279761,NA,1,AKT_SGK.MTOR_1
MDA-MB-231,AKT_SGK,MTOR_1,1,1,0.521255169,0.9271433,13.83081936,0.151397543,1.4922251,84.1816045,NA,1,AKT_SGK.MTOR_1
MDA-MB-436,AKT_SGK,MTOR_1,1,1,0.168518773,3.0691595,28.3031861,0.282160205,10,66.69984144,NA,1,AKT_SGK.MTOR_1
MDA-MB-468,AKT_SGK,MTOR_1,1,1,0.701633406,1.2787971,72.05731483,0.524880415,1.2414474,33.97223485,NA,1,AKT_SGK.MTOR_1
MFM-223,AKT_SGK,MTOR_1,1,1,0.293824849,10,31.49945352,0.183351941,1.4913423,10.80842707,NA,1,AKT_SGK.MTOR_1
M14,AKT_SGK,MTOR_1,1,1,0.331600783,10,66.49945084,1,10,82.40030006,NA,1,AKT_SGK.MTOR_1
BT-20,AKT_SGK,PIK3CB_PIK3CD,1,1,0.241378602,1.6263155,83.77941294,0.347046134,1.0705945,59.52730189,NA,1,AKT_SGK.PIK3CB_PIK3CD
BT-549,AKT_SGK,PIK3CB_PIK3CD,1,1,0.362239897,0.3711984,0,0.255713822,0.8700082,32.6476227,NA,1,AKT_SGK.PIK3CB_PIK3CD
CAL-120,AKT_SGK,PIK3CB_PIK3CD,1,1,0.094507861,1.651447,56.65884252,0.263276777,2.4692377,74.28183513,NA,1,AKT_SGK.PIK3CB_PIK3CD
CAL-148,AKT_SGK,PIK3CB_PIK3CD,1,1,0.316100583,10,19.39917282,0.109025844,1.1605362,0,NA,1,AKT_SGK.PIK3CB_PIK3CD
CAL-51,AKT_SGK,PIK3CB_PIK3CD,1,1,1,1.8221916,65.30212123,0.179203595,1.4707949,25.77893811,NA,1,AKT_SGK.PIK3CB_PIK3CD
CAMA-1,AKT_SGK,PIK3CB_PIK3CD,1,1,0.170931987,1.4012419,15.09268123,0.125363863,1.7082581,9.61452252,NA,1,AKT_SGK.PIK3CB_PIK3CD
DU-4475,AKT_SGK,PIK3CB_PIK3CD,1,1,1,0.5533776,27.63326668,0.318126425,10,45.99940723,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC1143,AKT_SGK,PIK3CB_PIK3CD,1,1,0.135213276,10,76.09657708,1,10,92.40008972,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC1187,AKT_SGK,PIK3CB_PIK3CD,1,1,0.307538497,10,76.49972823,0.228479991,2.5145756,45.93010623,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC1395,AKT_SGK,PIK3CB_PIK3CD,1,1,0.021768704,1.5502917,68.20591126,0.164089384,0.999505,33.86668582,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC1428,AKT_SGK,PIK3CB_PIK3CD,1,1,0.306214546,1.6426872,80.84831444,1,0.3827593,69.09626934,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC1806,AKT_SGK,PIK3CB_PIK3CD,1,1,1,0,100,0.367251088,10,55.49801288,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC1937,AKT_SGK,PIK3CB_PIK3CD,1,1,1,0.398067,52.12542084,1,0.7168111,44.35761472,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC38,AKT_SGK,PIK3CB_PIK3CD,1,1,1,0.6087497,47.73824121,1,0.6702587,66.21579561,NA,1,AKT_SGK.PIK3CB_PIK3CD
HCC70,AKT_SGK,PIK3CB_PIK3CD,1,1,0.12105337,0.9134688,0,0.282625389,1.8125231,23.27191602,NA,1,AKT_SGK.PIK3CB_PIK3CD
Hs-578-T,AKT_SGK,PIK3CB_PIK3CD,1,1,1,10,65.80001857,0.298523268,10,51.3996278,NA,1,AKT_SGK.PIK3CB_PIK3CD
MDA-MB-157,AKT_SGK,PIK3CB_PIK3CD,1,1,0.200347765,0.5237452,47.3776786,0.383414168,10,89.89930616,NA,1,AKT_SGK.PIK3CB_PIK3CD
MDA-MB-231,AKT_SGK,PIK3CB_PIK3CD,1,1,0.149452593,3.2352647,86.51719481,0.263364594,1.4122615,76.72871434,NA,1,AKT_SGK.PIK3CB_PIK3CD
MDA-MB-436,AKT_SGK,PIK3CB_PIK3CD,1,1,0.379181299,0.9847849,58.93194829,0.282172932,10,68.69968076,NA,1,AKT_SGK.PIK3CB_PIK3CD
