ChallengeName	MoA	Target	ChemBL	PubChem	HBA	cLogP	HBD	Lipinski	MW
Cisplatin	ALK	EGFR;SOD1;ABCB1;ABCC2;ABCC6;ABCG2;PARP1;HTRA2;PTGS2;ATP7A;F2;ATP7B;GSTP1		2767					
CSNK2A1		CSNK2A1		52913929	10	3.02	3	0	447.5
CSNK2A1_2		CSNK2A1	CHEMBL84	60700	10	2.12	5	0	419.5
Docetaxel	TUBB	TUBB1;BCL2;MAP2;MAP4;MAPT;NR1I2	CHEMBL92	56951429	15	4.08	5	2	807.9
Doxorubicin	TOPO	TOP2A;TOP2B;DNMT1;TP53	CHEMBL6608	44609510	12	0.32	7	3	543.5
EG5		KIF11							
EGFR		EGFR	CHEMBL24828	3081361	8	4.49	2	0	485.9
EGFR_2		EGFR	CHEMBL939	123631	7	5.6	1	1	446.9
ERBB		EGFR;ERBB2;ERBB3;ERBB4	CHEMBL2408045	46244173	8	4.51	2	0	473.9
ESR1		ESR1							
ESR1_1		ESR1	CHEMBL1358	104741					
ESR1_2		ESR1	CHEMBL489	449459					
ESR1_3		ESR1	CHEMBL6318	2733526					
FASN		FASN		43806	6	4.8	0	0	462.6
FGFR		FGFR1;FGFR2;FGFR3		15953870	8	4.43	3	0	463.6
FGFR4		FGFR4							
FNTA_FNTB		FNTA;FNTB							
FOLFIRI	ALK;ANTIMETABOLITE	EGFR;KRAS;NRAS;HRAS;IFNA1		56842117					
FOLFOX	ALK;ANTIMETABOLITE	EGFR;IGF1R;PTGS2;KRAS;NRAS;HRAS;IFNA1		56842121					
Gemcitabine	ANTIMETABOLITE	RRM1;RRM2;RRM2B;TYMS;CMPK1	CHEMBL888	76321032	7	-0.71	4	0	263.2
gSEC		PSENEN;APH1A;APH1B;GSAP;NCSTN;PSEN1;NOTCH1							
HDAC_4	HDAC	HDAC1;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9;HDAC10;HDAC11;SIRT1;SIRT2;SIRT3;SIRT4;SIRT5;SIRT6;SIRT7	CHEMBL98	5311					
HDAC1_HDAC3	HDAC	HDAC1;HDAC3							
HSP90		HSP90AA1							
IAP		NIAP;XIAP;BIRC2;BIRC3							
IAP_2		NIAP;XIAP;BIRC2;BIRC3							
IGFR_2		IGF1R;IGF2R			9	3.59	2	0	463.5
IGFR_3		IGF1R;IGF2R;FGR1;FGR2;FGR3;FGR4;AKT1;AKT2;AKT3		51039095	6	4	3	0	421.5
IGFR_4		IGF1R;IGF2R;ALK;MET;ROS1	CHEMBL601719	11626560	9	4.29	2	1	507
IKBK		CHUK;IKBKB;IKBKE;IKBKG	CHEMBL516203	11152667	7	1.59	3	0	395.5
JAK		JAK1;JAK2	CHEMBL553025	44424639	8	2.01	3	0	348.8
MAP2K		MAP2K1;MAP2K2	CHEMBL2103875	11707110					
MAP2K_1		MAP2K1;MAP2K2	CHEMBL1614701	123631	7	3.88	3	0	457.7
MAP2K_2		MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7			7	3.22	3	0	456.2
MAP2K_3		MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7;BRAF;ARAF	CHEMBL2103875	3310	9	4.98	2	1	615.4
MAP2K_RAF		MAP2K1;MAP2K2;RAF1;BRAF							
MET		MET	CHEMBL2001019	24964624	9	0.52	1	0	372.4
MET_2		MET	CHEMBL2103882	11494412					
MET_ALK		MET		25262965	6	4.29	3	0	450.3
MTOR		MTOR		25262792	9	2.59	1	0	465.6
MTOR_1		MTOR		16654980	9	2.47	1	0	462.6
MTOR_2		MTOR	CHEMBL1201182	6918289					
MTOR_3		MTOR	CHEMBL1908360	23724849					
MTOR_4		MTOR							
MTOR_5		MTOR							
NAE		NAE1;NAE2;UBA3							
Oxaliplatin	ALK	EGFR;SOD1;MTOR;PARP1;GSTP1;CASP3;TYMP;ERCC1;SRC;VEGFA;BIRC5;SLC22A2	CHEMBL277572	73554252	2	-0.62	4	0	114.2
PARP1		PARP1	CHEMBL521686	11327430	7	1.24	1	0	434.5
PARP1_2		PARP1			6	0.73	1	0	395.4
PDGFR_Ab		PDGFRA							
PI3KCD		PIK3CD	CHEMBL2216870	11625818					
PIK3C		PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R6;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3CG	CHEMBL521851	17755052	10	2.63	1	1	513.6
PIK3C_2		PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R6;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3CG	CHEMBL2017974	16654980	8	1.58	2	0	410.4
PIK3C_MTOR		PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R6;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3CG;MTOR							
PIK3C_MTOR_2		PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R6;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3CG;MTOR							
PIK3CA_2		PIK3CA							
PIK3CA_3		PIK3CA							
PIK3CA_4		PIK3CA		16659841	7	2.13	3	0	441.5
PIK3CB		PIK3CB							
PIK3CB_PIK3CD		PIK3CB;PIK3CD		11213558	7	1.67	1	0	457.5
PIM1		PIM1	CHEMBL521686	23725625	5	3.18	3	0	379.5
PIP5K1		PIP5K1A;PIP5K1B							
PRKC		PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;GSK3B	CHEMBL300138	176167					
PRKDC_2		PRKDC	CHEMBL1086377	56973724	8	4.39	1	1	582.7
Proteasome	PROT	PSMC5;PSMD4;PSMC3;PSMD2;PSMC2;PSMA6;PSMC4;PSMD1;PSMB8;PSMB9;PSMC6;PSMD10;PSMA7;PSMC1;PSMA3;PSMB5;PSMA1;PSME3;PSMA2;PSMA4;PSMD9;PSMA5;PSMD12;PSMB1;PSMD11;PSME1;PSMB7;PSMD14;PSMB4;PSMD8;PSMD6;PSMB2;PSMD13;ADRM1;PSMD3;PSMD5;PSMD7;PSMB10;PSMB6;PSMB3;PSME2;PSMF1;PSMG1;PSMB11;PSME4;PSMA8;PSMG2;PSMG3	CHEMBL115762	387447					
Proteasome_2	PROT	PSMC5;PSMD4;PSMC3;PSMD2;PSMC2;PSMA6;PSMC4;PSMD1;PSMB8;PSMB9;PSMC6;PSMD10;PSMA7;PSMC1;PSMA3;PSMB5;PSMA1;PSME3;PSMA2;PSMA4;PSMD9;PSMA5;PSMD12;PSMB1;PSMD11;PSME1;PSMB7;PSMD14;PSMB4;PSMD8;PSMD6;PSMB2;PSMD13;ADRM1;PSMD3;PSMD5;PSMD7;PSMB10;PSMB6;PSMB3;PSME2;PSMF1;PSMG1;PSMB11;PSME4;PSMA8;PSMG2;PSMG3	CHEMBL451887	11556711					
PTK2		PTK2B;BRAF;ARAF;MAP2K1	CHEMBL2103875	11707110	7	4.29	3	0	404.4
PTK2_2		PTK2B;PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R6;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3CG;MTOR		56649450	8	4.17	3	0	438.4
SLC16A4		SLC16A3;SLC16A4							
SN38	TOPO	TOP1;TOP2A;TOP2B	CHEMBL481	10184653	7	1.97	2	0	392.4
SRC		SRC	CHEMBL217092	68591670	10	4.11	1	1	542
SYK		SYK	CHEMBL475251	3143	11	4.12	3	1	470.5
TKI		KDR;EGFR;RET	CHEMBL416191	11488320	6	5.84	1	1	475.4
TKI_2		VEGFR2;TIE2;KDR;TEK	CHEMBL1946170	11167602					
TNF		TNF;TNFA							
TNFSF10		TNF;TNFSF2							
TNKS_PARP6		TNKS;PARP6							
TOP2	TOPO	TOP2A;TOP2B;PRKDC	CHEMBL188678	3461	4	5.44	0	1	413.5
TOP2_2	TOPO	TOP2A;TOP2B	CHEMBL268601	104842	13	0.03	3	2	588.6
Topotecan	TOPO	TOP1;TOP1MT;TOP2A;TOP2B;TP53;CASP3;EGFR	CHEMBL10960	24978538	8	0.73	2	0	421.5
TTK		TTK;LAT	CHEMBL2140523	10127622	9	3.62	1	0	452.6
TYMS		TYMS	CHEMBL6567	3385					
VEGF		KDR;FLT1;FLT4	CHEMBL491473	9933475					
Vinorelbine	TUBB	TUBB;TUBB2A;TUBB2C;CYP3A4		11964036	12	5.94	2	3	778.9
WEE1		WEE1	CHEMBL1976040	24856436					
WNT		WNT1;WNT2;WNT3;WNT4;WNT5A;WNT5B;WNT7;TNKS							
