#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
vorinostat	everolimus	-100005311	-106442177	5311	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.511
gefitinib	everolimus	-100123631	-106442177	123631	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.627	0.627
etoposide	5-FU	-100003310	-100003385	3310	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.811	0.811
paclitaxel	olaparib	-100004666	-123725625	4666	23725625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.510	0.510
vandetanib	cediranib	-103081361	-109933475	3081361	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.711	0.711
docetaxel	gemcitabine	-100003143	-100003461	3143	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.949	0.949
irinotecan	SN-38	-100003750	-100104842	3750	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.947	0.947
gefitinib	temsirolimus	-100123631	-100148191	123631	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.712	0.712
tivantinib	crizotinib	-111494412	-111597571	11494412	11597571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.563
cisplatin	tamoxifen	-100002767	-100005376	2767	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.677	0.677
MET	KDR	984251	979279	ENSP00000317272	ENSP00000263923	0.000	0.000	0.000	0.559	0.000	0.621	0.000	0.514	0.701
gemcitabine	olaparib	-100003461	-123725625	3461	23725625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.452	0.452
everolimus	MK-2206	-106442177	-124964624	6442177	24964624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.417
ICI 182,780	gefitinib	-100104741	-100123631	104741	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483	0.483
TOP1	cisplatin	989008	-100002767	ENSP00000354522	2767	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.424	0.424
CAL-101	BYL719	-111625818	-146178281	11625818	46178281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.540
doxorubicin	bortezomib	-100001690	-100093860	1690	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.844	0.844
gefitinib	afatinib	-100123631	-110163178	123631	10163178	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.660	0.965
CAL-101	navitoclax	-111625818	-124978538	11625818	24978538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.421
SD 5	BYL719	-116654980	-146178281	16654980	46178281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.421
EGFR	ABCG2	980366	977147	ENSP00000275493	ENSP00000237612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.508	0.508
ESR1	4-hydroxytamox.	976039	-100063062	ENSP00000206249	63062	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.937	0.993
DCK	etoposide	981000	-100003310	ENSP00000286648	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.159	0.913
etoposide	gemcitabine	-100003310	-100003461	3310	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.792	0.792
docetaxel	FOLFOX	-100003143	-156842121	3143	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.563
topotecan	SN-38	-100005515	-100104842	5515	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.711	0.766
vorinostat	bortezomib	-100005311	-100093860	5311	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.700
topotecan	gefitinib	-100005515	-100123631	5515	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.514	0.514
EGFR	4-anilinoquina.	980366	-105329046	ENSP00000275493	5329046	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	0.531
gemcitabine	vorinostat	-100003461	-100005311	3461	5311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.428	0.428
TOP1	paclitaxel	989008	-100004666	ENSP00000354522	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.493	0.493
AZD2014	BYL719	-125262792	-146178281	25262792	46178281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.489
tamoxifen	idoxifene	-100005376	-100071331	5376	71331	0.000	0.000	0.000	0.786	0.000	0.000	0.000	0.605	0.605
TOP1	SN-38	989008	-100104842	ENSP00000354522	104842	0.000	0.000	0.000	0.000	0.000	0.589	0.800	0.960	0.996
EGFR	FOLFOX	980366	-156842121	ENSP00000275493	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.365	0.803
EGFR	paclitaxel	980366	-100004666	ENSP00000275493	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.957	0.986
ABCG2	irinotecan	977147	-100003750	ENSP00000237612	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.892	0.992
gemcitabine	temsirolimus	-100003461	-100148191	3461	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.534
gefitinib	FOLFOX	-100123631	-156842121	123631	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.482
ESR2	ICI 182,780	987437	-100104741	ENSP00000343925	104741	0.000	0.000	0.000	0.000	0.000	0.800	0.900	0.916	0.998
doxorubicin	olaparib	-100001690	-123725625	1690	23725625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.406
ESR1	ICI 182,780	976039	-100104741	ENSP00000206249	104741	0.000	0.000	0.000	0.000	0.000	0.800	0.900	0.939	0.998
ABCG2	ESR1	977147	976039	ENSP00000237612	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.871	0.871
docetaxel	gefitinib	-100003143	-100123631	3143	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.812	0.812
EGFR	doxorubicin	980366	-100001690	ENSP00000275493	1690	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.629	0.885
5-FU	gemcitabine	-100003385	-100003461	3385	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.918	0.918
doxorubicin	gemcitabine	-100001690	-100003461	1690	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.974	0.974
5-FU	irinotecan	-100003385	-100003750	3385	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.861	0.861
ESR1	tamoxifen	976039	-100005376	ENSP00000206249	5376	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.966	0.999
irinotecan	bortezomib	-100003750	-100093860	3750	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.534
5-azacytidine	5-FU	-100001805	-100003385	1805	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.507
gemcitabine	paclitaxel	-100003461	-100004666	3461	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.985	0.985
KDR	vandetanib	979279	-103081361	ENSP00000263923	3081361	0.000	0.000	0.000	0.000	0.000	0.867	0.800	0.902	0.997
ABCG2	olaparib	977147	-123725625	ENSP00000237612	23725625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.811	0.811
EGFR	vorinostat	980366	-100005311	ENSP00000275493	5311	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.182	0.747
paclitaxel	tamoxifen	-100004666	-100005376	4666	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.848	0.848
irinotecan	cediranib	-100003750	-109933475	3750	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.515	0.515
doxorubicin	SN-38	-100001690	-100104842	1690	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.708	0.708
tamoxifen	ICI 182,780	-100005376	-100104741	5376	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.904	0.904
MET	K R W	984251	-117754438	ENSP00000317272	17754438	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.181	0.915
cisplatin	vinorelbine	-100002767	-100005672	2767	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.919	0.919
TYMS	docetaxel	984083	-100003143	ENSP00000315644	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.266	0.924
gemcitabine	AZD7762	-100003461	-111152667	3461	11152667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.411	0.411
EGFR	cediranib	980366	-109933475	ENSP00000275493	9933475	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.255	0.599
EGFR	irinotecan	980366	-100003750	ENSP00000275493	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.530	0.854
5-FU	tamoxifen	-100003385	-100005376	3385	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.722	0.722
irinotecan	FOLFIRI	-100003750	-156842117	3750	56842117	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.769	0.769
ABCG2	docetaxel	977147	-100003143	ENSP00000237612	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.779	0.977
TYMS	irinotecan	984083	-100003750	ENSP00000315644	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.876	0.974
TYMS	gemcitabine	984083	-100003461	ENSP00000315644	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.412	0.878
KDR	paclitaxel	979279	-100004666	ENSP00000263923	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.440	0.440
gefitinib	cediranib	-100123631	-109933475	123631	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.517	0.517
topotecan	temsirolimus	-100005515	-100148191	5515	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.401	0.401
cisplatin	SN-38	-100002767	-100104842	2767	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.644	0.644
5-azacytidine	bortezomib	-100001805	-100093860	1805	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.402	0.402
EGFR	cisplatin	980366	-100002767	ENSP00000275493	2767	0.000	0.000	0.000	0.000	0.000	0.493	0.000	0.903	0.949
doxorubicin	paclitaxel	-100001690	-100004666	1690	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.999	0.999
paclitaxel	topotecan	-100004666	-100005515	4666	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.912	0.912
cisplatin	5-FU	-100002767	-100003385	2767	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.949	0.949
docetaxel	tamoxifen	-100003143	-100005376	3143	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.769	0.769
ABCG2	topotecan	977147	-100005515	ENSP00000237612	5515	0.000	0.000	0.000	0.000	0.000	0.692	0.900	0.963	0.998
cisplatin	topotecan	-100002767	-100005515	2767	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.741
paclitaxel	SN-38	-100004666	-100104842	4666	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.687	0.687
temsirolimus	CAL-101	-100148191	-111625818	148191	11625818	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.437	0.437
cisplatin	bortezomib	-100002767	-100093860	2767	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.641	0.641
etoposide	gefitinib	-100003310	-100123631	3310	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.422	0.422
DPYD	docetaxel	990069	-100003143	ENSP00000359211	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.327	0.792
quinacrine	chloroquine	-100000237	-100002719	237	2719	0.000	0.000	0.000	0.797	0.000	0.000	0.000	0.768	0.768
bortezomib	enzastaurin	-100093860	-100176166	93860	176166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.460
FOLFIRI	FOLFOX	-156842117	-156842121	56842117	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.830	0.830
everolimus	KU-60019	-106442177	-115953870	6442177	15953870	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.482
ABCG2	gefitinib	977147	-100123631	ENSP00000237612	123631	0.000	0.000	0.000	0.000	0.000	0.599	0.900	0.847	0.993
MET	cediranib	984251	-109933475	ENSP00000317272	9933475	0.000	0.000	0.000	0.000	0.000	0.344	0.000	0.148	0.472
EGFR	topotecan	980366	-100005515	ENSP00000275493	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.849	0.953
ESR1	docetaxel	976039	-100003143	ENSP00000206249	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.494	0.494
EGFR	KDR	980366	979279	ENSP00000275493	ENSP00000263923	0.000	0.000	0.000	0.551	0.000	0.239	0.000	0.660	0.456
cisplatin	FOLFOX	-100002767	-156842121	2767	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.545	0.545
EGFR	5-FU	980366	-100003385	ENSP00000275493	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.525	0.853
SN-38	FOLFIRI	-100104842	-156842117	104842	56842117	0.000	0.000	0.000	0.748	0.000	0.000	0.000	0.536	0.536
tamoxifen	gefitinib	-100005376	-100123631	5376	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.657	0.657
docetaxel	FOLFIRI	-100003143	-156842117	3143	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.557	0.557
gefitinib	vandetanib	-100123631	-103081361	123631	3081361	0.000	0.000	0.000	0.645	0.000	0.000	0.900	0.711	0.970
vandetanib	everolimus	-103081361	-106442177	3081361	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.558
5-FU	vinorelbine	-100003385	-100005672	3385	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.813	0.813
AZD8055	BYL719	-125001065	-146178281	25001065	46178281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.489
etoposide	bortezomib	-100003310	-100093860	3310	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.599
TOP1	doxorubicin	989008	-100001690	ENSP00000354522	1690	0.000	0.000	0.000	0.000	0.000	0.175	0.000	0.509	0.583
ABCG2	cisplatin	977147	-100002767	ENSP00000237612	2767	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.904	0.980
doxorubicin	ICI 182,780	-100001690	-100104741	1690	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.429
cisplatin	vorinostat	-100002767	-100005311	2767	5311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.409
doxorubicin	tamoxifen	-100001690	-100005376	1690	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.919	0.919
doxorubicin	vinorelbine	-100001690	-100005672	1690	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.983	0.983
paclitaxel	CC49	-100004666	-110127622	4666	10127622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.480	0.480
TOP1	5-FU	989008	-100003385	ENSP00000354522	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.150	0.463	0.530
5-azacytidine	cisplatin	-100001805	-100002767	1805	2767	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.512	0.512
gemcitabine	tamoxifen	-100003461	-100005376	3461	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.488
paclitaxel	vorinostat	-100004666	-100005311	4666	5311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.565	0.565
temsirolimus	MK-2206	-100148191	-124964624	148191	24964624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.541
irinotecan	gefitinib	-100003750	-100123631	3750	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.710
MET	EGFR	984251	980366	ENSP00000317272	ENSP00000275493	0.000	0.000	0.000	0.609	0.000	0.846	0.000	0.947	0.903
TYMS	DCK	984083	981000	ENSP00000315644	ENSP00000286648	0.000	0.000	0.000	0.000	0.260	0.000	0.000	0.562	0.654
MET	CC 243	984251	-111213558	ENSP00000317272	11213558	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.500
irinotecan	temsirolimus	-100003750	-100148191	3750	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.489
doxorubicin	5-azacytidine	-100001690	-100001805	1690	1805	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.496	0.638
cisplatin	docetaxel	-100002767	-100003143	2767	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.950	0.950
ABCG2	tamoxifen	977147	-100005376	ENSP00000237612	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.828	0.982
5-FU	FOLFOX	-100003385	-156842121	3385	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.768	0.768
vinorelbine	gefitinib	-100005672	-100123631	5672	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.710
tamoxifen	vinorelbine	-100005376	-100005672	5376	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.560
temsirolimus	enzastaurin	-100148191	-100176166	148191	176166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.620
docetaxel	etoposide	-100003143	-100003310	3143	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.864	0.864
KDR	4-anilinoquina.	979279	-105329046	ENSP00000263923	5329046	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.700
doxorubicin	topotecan	-100001690	-100005515	1690	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.952	0.952
topotecan	vinorelbine	-100005515	-100005672	5515	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.803	0.803
DCK	bortezomib	981000	-100093860	ENSP00000286648	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.800	0.938
DPYD	5-FU	990069	-100003385	ENSP00000359211	3385	0.000	0.000	0.000	0.000	0.000	0.836	0.900	0.964	0.999
cisplatin	everolimus	-100002767	-106442177	2767	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.669	0.669
KDR	doxorubicin	979279	-100001690	ENSP00000263923	1690	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.842	0.842
irinotecan	topotecan	-100003750	-100005515	3750	5515	0.000	0.000	0.000	0.816	0.000	0.000	0.000	0.765	0.765
4-hydroxytamox.	ICI 182,780	-100063062	-100104741	63062	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.718	0.718
paclitaxel	afatinib	-100004666	-110163178	4666	10163178	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.440	0.440
etoposide	topotecan	-100003310	-100005515	3310	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.751	0.751
